Time (s),Reconfigurable Path,Generic Path
1,15117246.413921,2896525.632662435
2,13934620.043859307,2843601.3735597166
3,12468024.706354795,3069219.4863396776
4,9523861.199682215,3279753.2600600016
5,7193749.2274671355,2964500.851871232
6,6279030.770525295,3033249.4414858297
7,5691275.3786423635,3051865.338816964
8,5324268.752804535,3161600.257158308
9,5264633.51727434,2841038.0108175958
10,4975302.483695282,2243122.703109726
11,4696942.519427609,1814005.9923576182
12,4995915.42976912,1495517.0961478895
13,4375450.260534555,1261445.301466041
14,3658445.690104099,1077115.3868448946
15,3856995.22521974,927528.1695934105
16,3278476.0362592298,812889.9311379626
17,3283513.668869728,715607.15971858
18,2946922.2171270577,633823.1913088188
19,2669129.4768271036,565476.1942714248
20,2443956.556237028,507635.0400904665
21,2226549.0282788053,458304.1700402938
22,2048600.2115020046,415551.3901405654
23,1865055.6764806774,378557.58600537066
24,1705564.93538336,346418.3567168385
25,1561628.1652490452,317841.55808851076
26,1448768.628498648,292984.129215592
27,1332410.6685937098,270876.58869888214
28,1241451.3764592377,251309.24071825852
29,1152744.536450097,233704.74098123363
30,1075621.44891236,217915.71372807157
31,1005281.7312607488,203711.99713048767
32,943541.8457014437,190716.87513606093
33,884269.5832559016,178964.81986071082
34,837404.6177995547,168450.14408794543
35,734233.3423525266,158656.7117070579
36,698378.2399323533,149769.41146632275
37,655493.1930706159,141602.54055217237
38,618202.6684568524,134057.6066341255
39,591368.9506670418,127017.77545444378
40,566116.9347630157,120590.54406463107
41,542258.1109702884,114667.90576490098
42,516336.0314267532,109183.92991725761
43,493714.8480538629,104076.6963787036
44,479082.085011217,99290.47450144566
45,455660.2008010096,94828.39706990829
46,438338.51475822454,90652.16501625611
47,421856.16247059125,86748.00490224514
48,401962.9182134224,83086.3366689022
49,384001.5438370035,79658.9148571085
50,368728.8962293786,76437.80125068007
51,352243.15257627476,73417.49836718997
52,338146.57235334377,70561.75330037996
53,323923.6627391848,67874.3286790522
54,311958.6071543117,65345.86088886814
55,302936.92020790733,62949.00465068374
56,288329.0367693845,60679.14195506442
57,281347.1744922668,58537.518656167405
58,268406.51340313174,56504.3441047787
59,260643.15137291825,54569.39362001256
60,251705.27169818274,52738.01259891419
61,243009.67029563017,50986.19614502358
62,235797.30853759783,49325.94407877723
63,227241.68793189703,47741.0651925924
64,222219.67869041537,46248.3297946123
65,215641.56461786313,44814.38227522322
66,210467.95262149247,43447.95781059899
67,204100.41425701426,42139.30247960236
68,198312.94387054077,40899.95061329013
69,194721.894580879,39705.21733377684
70,189243.4218116412,38562.47445703159
71,184729.7884763916,37469.40642150627
72,179591.47311077642,36418.51421260208
73,175275.92840507184,35414.22417698659
74,170269.5476586137,34445.69581267142
75,164835.48022068714,33520.03001334519
76,159588.15862970153,32631.820084774798
77,155084.0416111534,31780.15018055734
78,150432.804230938,30959.038885802347
79,147544.27715999703,30174.288818671976
80,142495.54987601977,29415.037748400624
81,139789.20842783368,28684.107341355168
82,136299.3721601646,27980.467308312385
83,133157.37368543548,27302.15307487118
84,129960.09832021824,26649.753218930313
85,127024.90219198915,26017.849861913124
86,123844.12558561127,25408.893275078794
87,121222.78750128686,24822.85550103254
88,119061.54492812318,24254.3450826007
89,116798.94555741733,23708.264088171887
90,113494.60789726053,23179.38536960565
91,110769.41296644066,22665.9477978595
92,108875.60120741744,22169.45264488151
93,106725.62920465699,21690.17516143311
94,104510.01972382564,21225.345276249365
95,101929.23086870655,20776.92745458594
96,100123.97645069544,20341.274356258218
97,98489.23879447422,19920.679465823374
98,96520.11882361051,19513.251645414304
99,94935.90015365387,19116.456434183063
100,92831.09713630019,18733.00800520913
101,91853.52536149947,18360.491429444774
102,89512.82339663754,17998.827790666663
103,87683.1886156996,17646.687589719615
104,86188.62972293235,17306.790640693034
105,84611.28705197865,16975.292827637288
106,83113.08666889695,16654.22888719124
107,81809.13018266986,16341.455926178778
108,80225.29818502649,16036.732497559298
109,78896.76353076893,15741.635570622975
110,77535.96360146163,15453.948191070078
111,75767.62058667929,15174.033590672256
112,74447.77544783779,14901.748563260368
113,73193.60259137707,14636.977381959516
114,72122.18654547688,14379.101253750063
115,70825.6912725331,14127.912931397856
116,69690.25013679806,13883.037625519393
117,68617.33425305646,13645.238073606462
118,67605.1350206901,13412.966086697796
119,66445.6743673847,13186.467423958447
120,65294.05401209136,12965.93915320935
121,64146.9695052138,12750.548312410732
122,63065.227790003984,12540.824048563105
123,62168.59097365792,12336.167045754659
124,61031.003427604344,12136.468815584318
125,59907.56951716453,11941.412251119187
126,58721.71779025012,11750.977295310104
127,57734.45080770344,11565.265503218754
128,56829.44640341071,11384.111082684482
129,55771.99331516835,11206.878303403471
130,54991.53657401878,11033.899836906185
131,53979.31142581934,10864.737635750931
132,53201.244839057406,10699.396959195688
133,52267.59548025029,10537.926873176817
134,51481.022390680395,10380.131512717444
135,50788.729249383745,10225.687897723397
136,50049.112422406215,10074.872913268175
137,49327.922730036604,9927.268038916398
138,48703.30652220623,9782.891608481399
139,47992.03939015059,9641.34007214781
140,47277.08375758235,9503.354860666674
141,46511.24798887135,9368.081570214636
142,46016.931195966616,9235.719550399737
143,45342.61095520725,9106.090766167177
144,44826.57485327388,8979.18134600415
145,44199.180149896776,8854.714991744557
146,43461.95661126128,8733.113732752076
147,42899.531620064154,8613.956843741114
148,42357.16685029311,8497.171261101716
149,41711.63608009323,8382.719375538605
150,41120.02728414852,8270.580468921784
151,40542.48644967747,8160.661737367595
152,39976.85000606976,8052.943799423821
153,39378.57854750363,7947.333345323293
154,38839.66013670032,7843.757239490136
155,38437.16938105314,7742.19814885744
156,37849.28903181556,7642.634119771992
157,37343.7394492885,7544.9543622201445
158,36828.69653464659,7449.177268126218
159,36368.12880754876,7355.191395259419
160,35878.04754462538,7262.956254994252
161,35478.61557564599,7172.456515636887
162,35019.52590691893,7083.590067789141
163,34571.67161749626,6996.371781862236
164,34112.71836548054,6910.832872092484
165,33725.29688017384,6826.819671280282
166,33263.29556369044,6744.326608570954
167,32866.72623335042,6663.249663349764
168,32564.309722477057,6583.567089079212
169,32166.876343301738,6505.606526894417
170,31784.59051235021,6428.785292829275
171,31427.687969402377,6353.464490235563
172,31053.740808408438,6279.381295772386
173,30795.543489415086,6206.5504307102465
174,30389.328570390295,6135.026347066941
175,30069.97273953107,6064.713703270372
176,29705.718670724775,5995.596557666293
177,29413.808738578864,5927.6608810301
178,29077.010104341913,5860.8679712789935
179,28751.742884791463,5795.206970034527
180,28471.305960102254,5730.627752073334
181,28122.745208959896,5667.126781066396
182,27832.23014638343,5604.677248348785
183,27569.73683575012,5543.262409953717
184,27257.810496057104,5482.794929625986
185,26991.02921675306,5423.407462193702
186,26742.99283529995,5364.942898380372
187,26461.877509863447,5307.41661332549
188,26209.459888219277,5250.784950733446
189,25941.6775529451,5195.062989592145
190,25668.869659584616,5140.225418315285
191,25327.682826825603,5086.261985897669
192,25127.417824261644,5033.049728836576
193,24823.909472457493,4980.8726783112825
194,24532.616423466687,4929.38851888616
195,24266.852339106426,4878.684758170247
196,24048.571869425083,4828.797844696512
197,23758.784969194385,4779.649094104194
198,23491.319768850077,4731.204990850223
199,23253.692049896876,4683.568731137727
200,22978.657109377007,4636.622781276645
201,22753.47198204264,4590.367989300974
202,22484.228480918606,4544.801034948081
203,22240.92891924824,4499.927752361391
204,21999.2948648673,4455.705173479455
205,21780.191781982005,4412.082437805764
206,21595.022145055256,4369.152833362421
207,21362.67468462326,4326.86937229855
208,21135.568711139163,4285.152847071278
209,20939.584464719992,4244.049730527671
210,20715.099169968827,4203.542273202017
211,20532.267022414046,4163.574789050744
212,20265.57788474631,4124.214920336937
213,20071.435133217754,4085.3963606615407
214,19794.49041725919,4047.154589582239
215,19686.47793322873,4009.4031325350384
216,19454.805723502344,3972.195282328703
217,19263.74643780317,3935.4906595676944
218,19109.42268024138,3899.2915328607764
219,18893.95806524321,3863.5972605251127
220,18706.22454513483,3828.4264647472432
221,18504.145536001848,3793.6975904920578
222,18320.50431374035,3759.4499807538014
223,18138.331705875687,3725.6516977197307
224,17999.80874384664,3692.3168093445756
225,17802.38566028511,3659.402778758629
226,17699.138478961966,3626.961894274388
227,17504.34022753375,3594.9319364571393
228,17341.108175198562,3563.3348444682224
229,17208.54290195955,3532.1460692432693
230,17045.556029303913,3501.358646435714
231,16904.20033385108,3470.987925154648
232,16751.362104492488,3440.9921138933328
233,16629.682227457444,3411.398346486399
234,16456.902023016435,3382.173832693297
235,16344.76147772685,3353.3118256313314
236,16216.822390282758,3324.852775581778
237,16088.314157325962,3296.695301205489
238,15923.472395161845,3268.9634120283326
239,15789.237529311456,3241.568885757722
240,15657.624021265623,3214.4767346571552
241,15516.917598266764,3187.7593907889614
242,15396.6019466395,3161.3545251993546
243,15239.04775485047,3135.2855807797905
244,15101.31676640776,3109.5206947852603
245,15000.258027686743,3084.092615531793
246,14858.883293584302,3058.9543473457975
247,14723.373758037389,3034.1527625855933
248,14603.177964454499,3009.634935716612
249,14475.478932027374,2985.410687804629
250,14363.1795015418,2961.476126334123
251,14226.675463764965,2937.8334848354925
252,14073.59114281119,2914.475110415106
253,13986.756970917437,2891.3877597149167
254,13881.926674073822,2868.5647354127564
255,13781.084408515955,2846.0196795864326
256,13663.54547874877,2823.744286075212
257,13559.237913329986,2801.725044423542
258,13451.86782506802,2779.947048019542
259,13345.33484998194,2758.4522150400376
260,13233.028383885348,2737.1940878820697
261,13126.355345822416,2716.1921632366343
262,13023.12878208714,2695.4221017180907
263,12923.810669809702,2674.877591080487
264,12820.903186581178,2654.5734125684994
265,12683.380334178217,2634.503718409394
266,12631.16501942438,2614.6345516589868
267,12517.31837858113,2595.027568639447
