Time (s),Reconfigurable Path,Generic Path
1,28376230.86137454,10139772.111041637
2,32091493.962170847,9410574.474658128
3,34455968.42493419,8694104.077689901
4,33609557.49122543,8425731.48052523
5,31381846.366843414,8374568.870376008
6,31428047.34245513,7715815.576939285
7,27245533.805556882,7223071.791941662
8,19999904.586991243,7384063.055661065
9,15324060.459166858,7833913.422079266
10,12060214.820045894,8305688.956596847
11,9810941.518217828,8263184.635235338
12,8113111.213361192,8686387.093615273
13,6786525.579377233,8244673.831737593
14,5789705.017787629,7295234.77647908
15,4933094.200506528,6363348.870689439
16,4253511.207691224,5685924.005953188
17,3738222.1709814616,4999019.40574258
18,3177316.877307707,4392299.909599104
19,2829787.4060855713,3937189.6781481337
20,2609739.570203606,3541611.9944550702
21,2314084.66003864,3166531.8529969426
22,2098884.832729437,2844966.61960088
23,1939372.2866523417,2612463.6311017387
24,1836551.4157218728,2391500.8941568285
25,1693183.4023616044,2205733.8251801506
26,1565851.4774301501,2048071.5899874375
27,1436747.2903343488,1873430.6593248886
28,1304268.7773606724,1726145.5175297777
29,1208994.8269742427,1611091.6334628696
30,1119975.31870933,1487479.8216351832
31,1019189.1242676092,1378706.8786772243
32,976688.2467816386,1259143.404305355
33,868883.512754027,1191193.9530847538
34,845677.1415928376,1095262.2297240735
35,800806.6349389768,988706.4736344268
36,740799.3791569344,918209.2219042866
37,725817.7286087209,852076.5994177161
38,651360.8824460689,827695.801940039
39,645200.9042039608,756993.7239468665
40,615437.2852676286,705518.6028455213
41,583796.0448866792,683130.0751483653
42,563487.9403925752,663612.6235034141
43,537228.4569473567,658527.8724756752
44,490172.2221193551,633825.7090582122
45,461034.8337441778,629422.7461164837
46,446303.6030408615,566661.0290993489
47,427283.3275432177,564652.4964641185
48,422423.538343177,532120.2908150615
49,391863.60031819536,485540.768811984
50,377453.0051726807,449827.6327311826
51,355996.16412731097,434161.6445903747
52,338887.82877109025,413564.37840774434
53,328369.229866571,388766.3253052032
54,320907.1134714244,342296.64403182484
55,322646.38890056364,365163.52201210696
56,310394.4960825829,345027.58352949534
57,303500.9510703302,299221.4425663753
58,286083.4708088775,290726.23277783784
59,260324.84388712922,285758.24082359445
60,257304.00489839498,280928.6371798829
61,261092.88977003234,290580.8829549866
62,259968.32643404749,258298.90511944576
63,249427.66433568462,235344.49623260082
64,240675.76527045126,207901.6722902829
65,230421.78106981184,185021.92507945898
66,219528.3990042082,197214.69506444666
67,214542.04885492343,187767.87524703273
68,209999.6440957416,175503.1374356991
69,203285.3725965006,153205.7415859657
70,201230.2352678856,143642.1032126928
71,196721.30058845517,131778.3666384972
72,191166.62884715648,138940.34601385242
73,179537.5884853109,128069.56269833009
74,173289.58053841747,111915.09724625602
75,167859.24658522708,118576.53517124357
76,156842.57133019256,111347.71820904686
77,150165.36806942264,113228.36683641061
78,151834.16833058003,113171.8169546316
79,144946.2957028843,108894.12461724863
80,140119.68456641588,94429.55070146381
81,137266.6828044679,75962.69806242149
82,131061.71535935995,68406.53098214816
83,123494.06997461188,58694.66553644853
84,126391.90393350566,62716.96567334753
85,121997.87813718939,73516.38448563327
86,122457.57221686294,67899.42664209605
87,121108.91033495632,63985.95285864822
88,115969.15521207431,56777.26222484764
