Time (s),Reconfigurable Path,Generic Path
1,171627095.32534328,171627095.32534328
2,157039765.34562922,157039765.34562922
3,147350364.98759332,147350364.98759332
4,120320104.85073593,120320104.85073593
5,115973241.22739068,115973241.22739068
6,103237619.63659357,103237619.63659357
7,89624275.22330384,89624275.22330384
8,84245873.64249231,84245873.64249231
9,77454682.79654455,77454682.79654455
10,71719244.92562471,71719244.92562471
11,68355272.01290847,68355272.01290847
12,62910071.5181385,62910071.5181385
13,56753361.63929393,56753361.63929393
14,52479528.38336667,52479528.38336667
15,47050249.54834847,47050249.54834847
16,43405204.700046,43405204.700046
17,42758027.12422571,42758027.12422571
18,40364845.87197176,40364845.87197176
19,37406108.935442105,37406108.935442105
20,35062498.486963764,35062498.486963764
21,33851506.0574709,33851506.0574709
22,31675677.58624093,31675677.58624093
23,29320146.00920835,29320146.00920835
24,27713749.928003978,27713749.928003978
25,26328529.88874256,26328529.88874256
26,25906528.434235625,25906528.434235625
27,24929808.63427822,24929808.63427822
28,23320320.9168649,23320320.9168649
29,22021796.24324743,22021796.24324743
30,19578584.174539164,19578584.174539164
31,17609693.47328637,17609693.47328637
32,17001191.269651636,17001191.269651636
33,15137573.865674734,15137573.865674734
34,11856966.485958708,11856966.485958708
35,12450651.91888084,12450651.91888084
36,11576836.891145177,11576836.891145177
37,11122293.20976968,11122293.20976968
38,10803143.73803655,10803143.73803655
39,9905072.497892685,9905072.497892685
40,9366874.367011461,9366874.367011461
41,7658813.627054918,7658813.627054918
42,7287948.660745597,7287948.660745597
43,5939539.476993095,5939539.476993095
44,5014088.915654458,5014088.915654458
45,4353054.355813501,4353054.355813501
46,3829643.2480867263,3829643.2480867263
47,3862804.2245782577,3862804.2245782577
48,2948074.8065114208,2948074.8065114208
49,2985857.429720151,2985857.429720151
50,2619157.290363384,2619157.290363384
51,2354700.53263147,2354700.53263147
52,2074607.422090564,2074607.422090564
53,1826592.315468208,1826592.315468208
54,2021063.3676966908,2021063.3676966908
55,1847629.3916177948,1847629.3916177948
56,1928747.0103728783,1928747.0103728783
57,2083700.616166461,2083700.616166461
58,2063455.751666905,2063455.751666905
59,2073413.2913375103,2073413.2913375103
60,2434810.522226792,2434810.522226792
61,3179317.6053452757,3179317.6053452757
62,3339188.4674187903,3339188.4674187903
63,3436749.628758339,3436749.628758339
64,3448096.0460364223,3448096.0460364223
65,3503274.2150331717,3503274.2150331717
66,3440448.7654479225,3440448.7654479225
67,3797436.978294868,3797436.978294868
68,3828649.287394996,3828649.287394996
69,3461574.121724497,3461574.121724497
70,2878197.657121009,2878197.657121009
71,3205243.03163858,3205243.03163858
72,2934102.4521764964,2805145.640710204
73,2805821.644673315,1825060.3664342538
74,2770484.2211263166,1145344.2902907585
75,2388948.6043649297,976766.585996823
76,2171729.302007313,511297.6820964538
77,2215155.3566530827,526462.1363285233
78,1842955.5002858976,346489.53654099896
79,1398628.5750636733,302258.63527257735
80,2832424.729119461,214231.8833629519
81,3103193.7054976146,252538.04445016288
82,3313218.3844371415,463500.7434869759
83,2802527.464129079,472848.17009652196
84,2610152.2733528297,354226.31833021576
85,2929689.554058953,398371.47355453257
86,3055722.2183768544,642037.6066141517
87,2761059.8086419343,420199.19542533346
88,2642901.1882943725,570150.7088131618
89,2752255.427349293,516565.5519838402
90,2242612.553067803,358930.2288763216
91,2012649.5051060335,292944.0278292998
92,1903980.787322367,378652.0825361267
93,1634891.2171320345,322185.9693053362
94,1812808.3934290034,225402.55626848855
95,1704133.971878509,289139.58016962744
96,1426081.881396705,279653.95263764507
97,1580133.6579234418,285182.6067247873
98,1166347.2222708447,217420.74073307926
99,1440846.3721105964,270243.43643089855
100,1330495.6359768033,367670.4819848056
101,1251705.1094363437,455763.8886601839
102,1546387.1708374333,432852.8911941801
103,1518179.2385793906,405244.2542474444
104,1309894.9612169648,235348.9387630446
105,1259802.863673236,281282.82178377325
106,1633093.6278338865,372401.1135511411
107,2129215.567235779,406376.04917522817
108,2021663.1390139554,379730.1362556212
109,1894943.6976861025,332466.59244281414
110,1644800.9832842478,231900.92949341246
111,1759787.233861562,329485.0430253187
112,1487976.1154768683,215843.1218143232
113,1097084.1221879981,98026.33964691385
114,971368.4811202199,100055.37283374317
115,692033.2926216243,67652.56331140923
116,832163.7713490643,89288.56357059676
117,928364.4371342965,146349.31045765107
118,1032110.5380636714,236500.6853811827
119,1083930.2273223468,285514.7477984378
120,1252481.9674846677,281661.15427403885
121,1629367.710536607,361592.3233460297
122,1699847.7492413993,216963.97655891915
123,1823263.996230947,359644.7640880749
124,1553588.3868672985,307363.7633909502
125,1359646.2153577278,177258.98244910678
126,1369589.9802389748,232330.38393228338
127,1644874.2999936293,198911.62701722805
128,1449652.3031488962,115970.1027058461
129,1568596.3923581394,150248.6552304168
130,1659722.8925219045,225176.8598271022
131,1234768.7868665396,138448.937956548
132,1106643.3905344533,118035.04937918489
133,954070.26278135,109792.04540384222
134,1222883.192856773,120869.05997436731
135,1006544.066590299,106353.06329520216
136,855304.3023328625,93457.14257640777
137,978776.9690844545,64034.028206795585
138,1058166.1088452921,46915.02789490059
139,857740.1689430308,37024.321663822324
140,762163.0117348479,28848.86939495008
141,652935.1836214168,42352.536760845906
142,770881.6036784326,45738.78182277753
143,908718.6284561665,38940.18443227385
144,642278.6412289067,28770.402555506942
145,560097.4794242687,19852.519248488916
146,614697.2375708979,25262.525728634642
147,713817.7875872476,28389.957520800843
148,578797.3953397594,31319.52003511477
149,678634.4447335752,44123.7866333943
150,514023.36435570166,58257.9042665824
151,467487.2284274962,69974.71276747814
152,257202.42253115846,58804.42403734158
153,289049.8604870317,71040.74315784645
154,971254.8675422427,43466.350322380735
155,813087.5810686171,56137.90218093522
156,645623.4143135219,67247.13418950509
157,703779.9821480035,56469.222127561625
158,616753.9230955848,36110.53161023984
159,722056.891720039,28426.49125101961
160,541183.0804967543,22800.94524287635
161,457271.823000771,18337.059331470762
162,389785.12582307094,11350.43356895043
163,383444.65758875787,12653.831208034817
164,413200.798307891,12075.68750242935
165,342596.6805408815,6524.1775931683
166,298118.43751365104,3158.1419148248065
167,217088.19348991918,2156.44007313293
168,186952.44163322682,2462.096563656611
169,141099.20941328397,1420.645379569732
170,147704.09730584547,920.8845830816483
171,116742.89279006704,1319.2956462309419
172,128193.42514086845,649.9413265277517
173,106136.42406350045,720.2636557936174
174,149398.26592177685,1326.4904239182613
175,179334.3943523391,2244.5967458656946
176,214000.38431340954,4249.482100631208
177,266958.84330372885,8298.24772102285
178,263785.90770543227,8634.412456584037
179,329340.9383623767,6637.976902753028
180,303985.0888164822,6008.182700019717
181,345143.7487171224,7843.388234867057
182,312965.2779072979,8388.188438582632
183,291613.4561305646,5140.157107312893
184,288269.45855091297,5995.552394538502
185,240844.0231899184,4434.579935013222
186,171489.04197613514,4495.615252846091
187,148148.41997359417,7600.310812960363
188,113203.18161607202,5442.9505206101885
189,103627.64863834689,4261.464659022852
