Time (s),Reconfigurable Path,Generic Path
1,140279421.77110207,76730247.92103976
2,140998653.334854,70502871.15095754
3,124100099.74594368,59276794.6663994
4,114602415.64481267,54271558.89022727
5,127640505.66340683,54078000.031767
6,114397428.88522318,46171204.75917937
7,108237299.54884197,39660205.56471249
8,98956518.35209428,34098269.215755455
9,85273600.94813782,27849376.06862769
10,72272971.11658274,23016074.135702774
11,63858395.32321824,20059000.76636824
12,58382272.21073467,20305247.947041813
13,51331525.91792837,18608701.28315227
14,45413208.30650658,17963766.527971808
15,39425165.04300661,14048187.803695263
16,34234730.69367834,11396365.223834459
17,30262948.00449472,8981928.496047225
18,27081036.03311094,8562227.095416283
19,24315532.978860818,7395124.598449512
20,21965277.714335665,8302805.570274724
21,19682051.74204809,7054198.734879865
22,17866556.71781911,6400516.690958388
23,16287002.815893987,6924503.783827616
24,14748910.807611896,6289926.003103573
25,13593017.91895579,5714732.031770005
26,12647716.470202778,4540649.861610283
27,11740242.823060695,4023590.1180853937
28,10755672.691157853,4047307.9625857593
29,9958625.292266577,3418453.649234821
30,9033440.749279656,3196446.1923351986
31,8702091.767460436,2877946.9613201157
32,8188732.6823594775,3235178.202890845
33,7223212.58695604,3718544.516960547
34,6726489.48524622,3181305.581506369
35,6080141.0463427305,3004972.393138125
36,5850871.057478144,2535988.1605964354
37,5263683.029365971,2384927.7395819775
38,5052911.337444327,2084475.65101958
39,4899842.588163661,2149550.5652810223
40,4605203.509288083,2448652.0785075515
41,4406798.386019344,2611906.0419625957
42,4317728.871536328,2548891.413788138
43,4296425.9635294825,2197586.6083871806
44,4136026.81630588,1980681.0936957572
45,3928077.4925291324,2173121.2576512145
46,3443711.9961077804,2153812.1306213965
47,3097507.246224179,2041284.0291443213
48,3061132.6811102503,1794537.3382964167
49,2723349.203132063,1676813.3204601288
50,2853184.2019198993,1446030.1042672507
51,2795612.2820964986,1704193.4681234465
52,2530372.714391896,1587037.8144505303
53,2512688.730505299,1394770.6930330282
54,2260563.989960848,1405500.8255160013
55,2158426.031026864,1305280.8335967935
56,2224920.4087057877,1108406.3378860545
57,2190669.792126886,866543.7218963681
58,1922246.7219455896,1069555.9389512404
59,1974360.7471516142,1084770.3337654993
60,2026741.7823840904,1129061.0955660804
61,2001483.6977199668,946400.6714631442
62,2004376.2042605444,962099.5877784776
63,1869708.1585885643,964673.5814386113
64,1729549.4201699374,958808.5750546084
65,1568019.4842856186,935268.0871739573
66,1601940.8943411713,891115.8582259913
67,1458453.1294222863,975704.8544118431
68,1338638.1013479368,975380.531422875
69,1311339.6857433096,851459.5044353127
70,1201261.747902684,766166.9255070594
71,1149912.5017337818,563652.5823360066
72,1154762.9848325434,449991.6631558758
73,1162019.9251754894,360495.3499006799
74,1117627.9394690462,348788.1448976315
75,1046557.9161529582,297440.6294636125
76,907196.8032695268,270490.3652417282
77,925136.0944694765,244302.8259704591
78,967789.7017381216,222037.72507597602
79,798719.859582486,215442.66414952205
80,835078.1358805391,225456.4996758912
81,756268.923792367,200272.9617718912
82,692923.9643218371,207813.70814095627
83,565891.8076034548,231273.53189271534
84,549810.51723652,181088.54456618094
85,502971.9600003392,165294.42525956698
86,435498.1873491208,157970.04209907696
87,401139.36383104144,158266.39856730553
88,331560.86967052054,130176.40854848242
89,237257.38636338658,148356.94151657488
90,283947.70012610825,125724.76871977048
91,231421.38879737278,114123.12158849069
92,184145.29685924904,97990.53144508963
93,207306.16842426432,92664.4047399533
94,213526.40866482724,85305.76457481274
95,214232.85578269546,107118.4315650842
96,174956.91152055567,117714.99244812442
97,162840.06706828973,103990.7997449815
98,176886.46490095917,89072.2621947776
99,127361.61114406101,120573.69922663592
100,119617.91812542222,147071.82228577198
101,116418.75203928369,168381.29549725546
102,109419.01269384073,117707.48208275356
103,149753.01219554115,115923.05059511661
104,134735.23584366305,139966.2616084685
105,110506.98490377734,140895.4507326157
106,96199.84115979185,126555.68674159248
107,102422.0326690494,125828.61948261045
108,77344.765363445,173132.79863146285
109,75951.134945054,234520.80199364497
110,67313.87331135196,204565.693365157
111,85978.56776945612,147608.2641492284
112,101812.92618851371,165169.3369227788
113,123901.57855533081,184940.29922589427
114,118325.65873182993,174553.41111908352
115,138334.59844417978,184018.7676403783
116,166592.09642352245,187110.7200435719
117,189739.5552600286,143795.4396886953
118,197720.85603707153,132866.09881404397
119,181676.90772199447,173937.72749532302
120,162961.26347691467,204203.5815401755
121,173456.10391874815,158813.94154852716
122,178908.22409154143,162533.87342417298
123,154820.6729862871,143551.404977338
124,184474.49114917102,125978.38022541816
125,220315.42968157202,118470.8918573518
126,219567.25389757354,127733.45783423772
127,230578.67530902996,131155.47884183453
128,253930.74676677678,122295.69262645421
129,235819.5001746367,95930.44991666813
130,228644.516975064,107953.26443811305
131,180024.62796358144,110890.58203386926
132,169575.10483883848,126573.3425780578
133,159327.01078124417,88141.37019559571
134,118291.8310716561,128540.47518265666
135,125953.28981522139,94897.3191281503
136,104927.9854626777,88991.65693732849
137,119555.12479321404,112013.57337625627
138,102644.55130348573,108974.23706207145
139,94743.70190519512,113263.85691041927
140,105798.63034511317,109561.62275760365
141,115262.18617289895,111472.56413268128
142,81095.07618444363,102723.13200016863
143,98418.7278656422,99067.68716700995
144,81036.09070538761,78008.0318504189
145,87898.60322976497,76147.78173281238
146,75545.62105603689,79351.89159049626
147,63009.488218483544,90086.49814176944
148,47728.80438750756,88185.60378466915
149,32691.50843796066,73891.04814095679
150,44188.3999845288,94800.74663080463
151,32710.19819153795,56681.10982369108
152,32356.908863885743,61359.9830642961
153,40033.53078560631,48890.329247599126
154,36143.23492112172,42630.73556331273
155,36077.687389389284,36787.60716992012
156,40895.12066911696,50854.416436283755
157,51225.2299689664,54501.117918121716
158,48627.454758218984,51009.43556871196
159,42158.086912208695,46801.224016554545
160,43250.40619355407,50375.93917770919
161,44288.753722132344,36848.90573968489
162,42712.09642595635,41215.86361751688
163,40276.35366737241,32505.496011591647
164,43697.2466691359,49017.98377302064
165,44833.58561134293,59773.65920017089
166,41129.42824370875,53804.27922693077
167,47580.071952508384,36236.46924793206
168,50270.41166182845,28321.48198320362
169,38991.84160418399,27456.487606245282
170,32735.545944569116,15889.876314267716
171,29524.373460414903,9917.660909332235
172,30083.67756198841,13708.626977943382
173,28302.304644593372,13843.14635133594
174,26134.883376476795,16889.80421547571
175,27364.982675161125,22159.354274116817
176,17832.318746681376,26317.930528152974
177,19651.372960364482,19919.62359013088
178,17941.178976004827,17642.434085602803
179,15946.32066358506,12156.160371262504
180,16612.597131309285,12755.840443688425
181,15206.832194392155,10517.171172314738
182,14614.04442724462,17174.4907653257
183,13060.351100947126,15446.78478211289
184,11467.57743138359,13726.835018803238
185,10365.63988890799,14000.65767026521
186,12783.11862755068,11916.212926464446
187,8218.427150751893,10434.53132144275
188,8577.303305256215,7485.223498731077
189,6916.569842188745,5661.121840644005
190,6884.721684236904,5056.688755873069
191,7390.959399984606,3899.6441148747535
192,8194.077962382316,2367.9981150001113
193,10997.687878425973,2151.145147297272
194,7943.7600830026595,1728.6959918875732
195,6931.539235825924,1119.3242301447974
