Time (s),Reconfigurable Path,Generic Path
1,4331206140.310873,1162674636.8829274
2,3880690851.969799,1213992107.8327396
3,1134233969.7051651,1134233969.7051651
4,1072055903.4520268,1072055903.4520268
5,1035606397.3360213,1035606397.3360213
6,974777588.1005288,974777588.1005288
7,930733781.4150244,930733781.4150244
8,892761238.5143429,892761238.5143429
9,836488218.730327,836488218.730327
10,730245369.6575248,730245369.6575248
11,649235830.3987832,649235830.3987832
12,610452927.3668019,610452927.3668019
13,549474866.2725383,549474866.2725383
14,481292528.8335554,481292528.8335554
15,460140835.24862725,460140835.24862725
16,414638269.4127638,414638269.4127638
17,360783737.7169633,360783737.7169633
18,307000271.4492311,307000271.4492311
19,320053317.59392846,320053317.59392846
20,299787434.37166184,299787434.37166184
21,279763949.863194,279763949.863194
22,259893409.79947037,259893409.79947037
23,230387253.25170752,230387253.25170752
24,214714130.42693123,214714130.42693123
25,194920531.83624235,194920531.83624235
26,182177303.60010463,182177303.60010463
27,169967613.03626516,169967613.03626516
28,151070379.7932343,151070379.7932343
29,138892314.70407924,138892314.70407924
30,128764134.26167883,128764134.26167883
31,119557784.44524075,119557784.44524075
32,115960616.19196887,115960616.19196887
33,113384555.33936927,113384555.33936927
34,101157362.62236297,101157362.62236297
35,97380410.14617358,97380410.14617358
36,92706252.3361653,92706252.3361653
37,86288900.29747052,86288900.29747052
38,84683857.18941675,84683857.18941675
39,75781416.66299622,75781416.66299622
40,72332219.3940601,72332219.3940601
41,70582316.80637175,70582316.80637175
42,67822615.39943534,67822615.39943534
43,69014560.8008641,69014560.8008641
44,65572128.74698103,65572128.74698103
45,60473529.3612667,60473529.3612667
46,58449884.75415274,58449884.75415274
47,59412289.44910607,59412289.44910607
48,57523305.93184286,57523305.93184286
49,51676867.99649715,51676867.99649715
50,49712328.31950773,49712328.31950773
51,49054806.23503132,49054806.23503132
52,45741866.20079658,45741866.20079658
53,45552963.80125783,45552963.80125783
54,42309697.66013616,42309697.66013616
55,42934861.171208866,42934861.171208866
56,41174368.016806945,41174368.016806945
57,39962520.41816902,39962520.41816902
58,38573845.36830098,38573845.36830098
59,38131957.75457143,38131957.75457143
60,36563344.66350018,36563344.66350018
61,33888102.529394664,33888102.529394664
62,32555367.078251578,32555367.078251578
63,32069515.20224519,32069515.20224519
64,30735549.343533136,30735549.343533136
65,28111937.40175751,28111937.40175751
66,27897302.824620325,27897302.824620325
67,25083780.22348355,25083780.22348355
68,23219268.315167446,23219268.315167446
69,21836016.37485871,21836016.37485871
70,22681078.327293653,22681078.327293653
71,22639503.845752157,22639503.845752157
72,21278035.991645273,21278035.991645273
73,20259109.538258694,20259109.538258694
74,19714266.60614922,19714266.60614922
75,19546332.312261168,19546332.312261168
76,18944967.31822632,18944967.31822632
77,16660450.614667889,16660450.614667889
78,16950832.96688163,16950832.96688163
79,16335512.204393797,16335512.204393797
80,15428446.82629037,15428446.82629037
81,14362444.191749029,14362444.191749029
82,14070591.721736176,14070591.721736176
83,14086527.22551571,14086527.22551571
84,12839006.486144379,12839006.486144379
85,12973587.082392618,12973587.082392618
86,12616614.018012373,12616614.018012373
87,12824813.764200661,12824813.764200661
88,11632240.313354466,11632240.313354466
89,11843444.581260478,11843444.581260478
90,10859637.523001207,10859637.523001207
91,10860804.43297359,10860804.43297359
92,11148287.571444234,11148287.571444234
93,11762211.124556473,11762211.124556473
94,11332697.876351409,11332697.876351409
95,11973271.752629489,11973271.752629489
96,12030218.287246412,12030218.287246412
97,11330324.913451254,11330324.913451254
98,11864032.990912495,11864032.990912495
99,11232338.067030082,11232338.067030082
100,11236485.776516197,11236485.776516197
101,11403621.439120036,11403621.439120036
102,11690389.483984817,11690389.483984817
103,11427368.813044101,11427368.813044101
104,10453802.187500112,10453802.187500112
105,9698244.326824073,9698244.326824073
106,10468667.657007953,10468667.657007953
107,10342099.772324875,10342099.772324875
108,9584993.73985909,9584993.73985909
109,9391727.904964933,9391727.904964933
110,9843217.941733886,9843217.941733886
