Time (s),Reconfigurable Path,Generic Path
1,2648547681542407.0,458530720983341.5
2,3297217343973880.0,554568228167743.7
3,3215617184659419.5,639078222351417.4
4,2242359221280206.5,647377937464894.9
5,2006871307836663.8,689268714893825.5
6,1492643628689838.0,620858976533440.1
7,1294962294022567.5,558667351816459.2
8,997937940807439.9,563158631240838.2
9,701717381196183.6,412802631657815.2
10,589401516294982.5,375634098919474.4
11,402713625260884.56,338702836047225.6
12,386618056734874.3,289411675087002.8
13,290413890383391.94,247730989034939.66
14,257907051069700.47,207903100385909.47
15,100096114563386.31,189804842927494.56
16,89308936675224.89,169021999342319.44
17,79624759506872.27,135740993261361.77
18,71206069684222.38,115551446767469.53
19,65085229756769.695,120092975159721.22
20,55426124936307.93,86023276651399.27
21,50243126922228.164,87701648253589.86
22,43296521691656.05,63516756088707.37
23,36502375303025.0,53158623067914.625
24,30952017066063.234,45510007720485.61
25,31754034802592.25,49408279806279.15
26,31452180231181.48,60447464051270.16
27,30132156694857.84,60253891578049.72
28,24704798009202.344,55591374146921.38
29,25297770747941.836,51180568113475.086
30,24059058926066.703,51740648057073.72
31,23077733418054.223,50153067971180.59
32,20625899116082.18,41081092818991.99
33,18424838357083.21,41900700404423.71
34,17632948496501.32,37414168819673.234
35,17347209760747.043,37081492223673.57
36,15714422484378.025,34759588252829.06
37,15022878457944.719,32759064155820.027
38,14676452655268.338,32426588541706.67
39,13516796226099.428,33053075429513.09
40,14129530655040.045,31228611688868.22
41,13126032996819.104,31000862363233.418
42,12728649380708.725,30086366594456.105
43,11194184084606.953,29007528948598.965
44,9948456629072.941,28475560471083.844
45,9321820411227.832,22685465862342.727
46,7884067742163.746,19028927606811.562
47,7622784918566.153,16344713698219.646
48,7357219643270.913,13792033206898.225
49,6992612077818.232,13262316494725.475
50,7005374316190.545,13114210455094.033
51,7444290808242.919,13404372397354.81
52,7896538218092.519,15432228207493.562
53,6897631694598.183,15355889867074.82
54,6343075272126.146,13054555507410.695
55,6480290294355.479,13209407237273.969
56,6228464416703.268,10842141462932.21
57,5355207987482.415,10491114158063.14
58,5099662151783.655,9159759327186.89
59,5071836887967.701,9657094200197.645
60,4911520733204.443,10863186490012.877
61,4780566937269.807,9863814003297.66
62,5014086727620.0,10012993185125.084
63,4665492821912.282,8302015512183.637
64,4748593022086.394,7825331423569.982
65,5116917359743.772,9986420467132.926
66,4601808440748.357,8827201397360.916
67,4252723443743.675,7679119842189.984
68,4294625691236.1426,7796260093234.499
69,4334001306977.1943,7093890327062.47
70,4312449178639.01,6183599005421.982
71,3697212035890.7466,4668856588687.91
72,4103923157917.099,5174763734046.018
73,4177353779379.815,4803082953692.073
74,4313107563664.032,4905951821040.684
75,4229254954520.4277,5226853145846.816
76,4403197154662.97,4553773345312.049
77,4394745966172.5244,4792955291773.244
78,4223485645251.752,4267642744056.4497
79,4369519115469.2295,3536225921339.6333
80,4242695359024.133,3055585274469.5205
81,4206888584221.2593,3866398021196.18
82,3766260374427.6475,2872219865983.39
83,3758897566532.0415,3063340113660.4624
84,3300974388078.696,3323725458971.201
85,3047445498253.0728,2318701903165.901
86,2893711220911.1084,2099471139553.4238
87,2512787542381.044,1241828681867.2703
88,2207294430187.293,840461446976.2261
89,2224676978591.3228,1140355164358.9294
90,2488743224815.431,908380447614.869
91,2461732486325.8564,821050410769.5757
92,2710849713585.8057,945281301762.6442
93,2501050690304.9697,866197402554.1016
94,2386624197534.8286,961785362280.185
95,2219454681377.268,811267162841.3086
96,1906969434968.769,728433598520.5105
97,2132661221366.4312,925831069262.9026
98,2438320929794.829,945731062317.2648
99,2621776217253.256,744453245306.9294
100,2640477004079.8457,458189544560.4288
101,2624557198079.1294,323888133217.75323
102,2523717752080.0703,242609777912.2798
103,2336028260339.415,323178673330.5002
104,2528364840860.91,378159673349.0741
105,2293489887136.6426,486311815526.85986
106,2152599070798.0222,434537088111.2635
107,2229463612020.6226,464237605957.99207
108,2123954872998.386,339799293604.1889
109,1977356731796.3113,231642362094.22397
110,2019789464393.8806,285536953066.4859
111,1708571805341.7324,267857539466.51334
112,1829309906495.8967,463487423685.54254
113,1795032859907.0496,598961517532.8687
114,1649795466827.44,548781340148.5935
115,1233522425339.8638,520576987257.00275
116,851314223471.9976,293587229170.2569
117,893233619939.8802,288455877273.3794
118,635320056599.832,208284008933.38217
119,718356198956.659,148238321305.24243
120,538992047761.28375,135804256225.05394
121,430775013674.69794,106731399221.69855
122,372346714831.4538,107131522545.7031
123,237087556214.88196,67860988089.92695
124,238981210918.82385,39682009628.609146
125,258865934387.10718,50183415654.87682
126,301281505587.87573,57963472382.884346
127,335956338666.10394,87089898630.68355
128,347541588219.0699,99322598419.29494
129,250067952093.03055,68560923637.64073
130,143651489986.2973,43370935405.59273
131,152432244116.6217,37501567770.497055
132,150240482284.9443,22823630319.26405
133,107595053204.20244,14037664055.9036
134,140415250597.52664,16000592009.575876
135,146707819645.2667,24799377023.10136
136,163904840791.61813,22220781227.650925
137,123749304110.82512,21201766544.166946
138,117779343088.12723,11197964332.454666
139,141357655946.0268,14615209566.117756
140,203065609765.8166,15830886137.395267
141,152020608015.5962,10135767059.641653
142,166820335037.89615,12020368958.461502
143,191645252863.3203,15775163813.93806
144,160234550039.1904,13325330157.485634
145,149760316287.69168,10094737448.755922
146,110979685918.77272,14135226359.04547
147,80292513552.63477,21307939643.047535
148,98719694415.44621,18184440647.235813
149,73730802061.7505,20597089636.73473
150,67504159133.15203,24015388861.4324
151,93008299076.76427,23554379795.518303
152,75046733122.75119,36676278637.225006
153,70610876212.3217,29016748746.245068
154,72385882489.1256,28166056563.326332
155,69635858071.17384,18455189245.84183
156,58203780839.0106,10321390997.483915
157,81161275365.89885,10330478728.249401
158,71998331841.71158,8453490922.788362
159,77751251955.39156,15928681403.711586
160,33080816969.852364,10929362928.826292
161,41315366653.666115,6652135851.734763
162,30963836570.16034,10191698321.943344
163,31992892278.68596,12198733341.12173
164,65918639145.17502,9099142271.597372
165,61646213504.476974,9840441030.846235
166,63397476633.35613,11675084784.139763
167,45510762598.44664,4323488937.935476
168,41180532973.587685,4038681557.5062466
169,47649258110.87782,6186055680.02557
170,102724464785.31935,3147952868.358114
171,95483565882.47993,2290532146.0322704
172,100131571271.23721,3973399277.854019
173,77182388797.0335,5853221452.23584
174,93675029606.28853,7207067631.151199
175,94466273546.5751,5247530416.903177
176,342660210319.7045,6661010495.853729
177,342775293261.3637,6071340484.712192
178,422503024956.8229,6170572182.5795
179,525585818996.71014,7363287135.314038
180,478457317980.0662,12476224554.968863
181,489835390285.8143,11517755298.854052
182,494753472425.0086,12101090136.662794
183,442580317439.65814,6402464348.796763
184,542198581652.16626,7077506895.842851
185,534522688737.66504,7213555348.989375
186,572560166242.7012,10606167203.051043
187,515937248641.7157,9952883002.714666
188,498271431179.8935,4563711976.946097
189,432826345262.10175,3248888213.6632876
190,385396970518.8595,1679923874.430307
191,278973744555.716,631901172.3192103
192,264472807629.84622,991748685.5527316
193,234545404866.82602,932721128.6519077
194,286857380606.7739,1643449627.7258146
195,190079276287.50916,1126621553.2371376
196,115235532285.08911,1017939001.7543437
197,69102695807.74431,467219565.74077183
198,118705100847.10736,589781860.6785774
199,80797038392.16127,334448742.0053309
