Time_p1,Reconfigurable Path,Time_p2,Generic Path,Meaningful_Time,Meaningful,Generic_Sensitivity_Time,Generic_Sensitivity
1,-135.02613699685844,1,-135.02613699685844,3.0,-150.90667477247382,,
2,-142.08981739911934,2,-142.08981739911934,8.0,-181.65427038398033,,
3,-147.04053265457543,3,-153.53944058461636,9.0,-185.25328776694755,,
4,-150.90667477247382,4,-163.13591749424359,13.0,-199.2006934576613,,
5,-162.47478366357757,5,-176.33354848627866,14.0,-202.22066357297675,,
6,-168.46538182120815,6,-184.6779813761691,15.0,-204.3218742422718,,
7,-173.54515302517007,7,-189.8352469099549,16.0,-206.53763674257866,,
8,-179.39407925455117,8,-195.79905965327256,17.0,-209.3236988929227,,
9,-181.65427038398033,9,-201.9608760343428,18.0,-212.06135542049,,
10,-185.25328776694755,10,-206.76397200973975,19.0,-214.06931301387846,,
11,-188.16193962114414,11,-211.38809392495648,20.0,-216.43436965845257,,
12,-190.9643836167017,12,-215.71304526336357,21.0,-218.77815321292323,,
13,-195.1522049720673,13,-220.25608120311378,22.0,-221.19488767478654,,
14,-199.2006934576613,14,-224.58689847047194,23.0,-223.0498415590681,,
15,-202.22066357297675,15,-228.20695330884325,29.0,-232.19892867859062,,
16,-204.3218742422718,16,-231.84947990881824,30.0,-233.75555933469948,,
17,-206.53763674257866,17,-235.62055055857547,31.0,-235.51429479409393,,
18,-209.3236988929227,18,-239.0503138872167,32.0,-237.44122179894563,,
19,-212.06135542049,19,-242.27757779407767,33.0,-238.29230730232854,,
20,-214.06931301387846,20,-245.30790263366873,34.0,-236.78805960719822,,
21,-216.43436965845257,21,-248.48828455122668,35.0,-237.977232916374,,
22,-218.77815321292323,22,-251.2013720983811,366.0,-378.36283377113296,,
23,-221.19488767478654,23,-253.80096783862606,367.0,-378.53800082134137,,
24,-223.0498415590681,24,-256.0752705230091,368.0,-378.7619002675871,,
25,-225.47271906566354,25,-258.42280582731524,369.0,-378.99800502749287,,
26,-226.78255673268222,26,-260.5180952382127,370.0,-379.15147951876975,,
27,-228.43713420223438,27,-262.4361287135212,371.0,-379.30813380999984,,
28,-229.74840007711344,28,-264.5887910409427,372.0,-379.48745054276606,,
29,-230.90938586948346,29,-266.4243099648733,373.0,-379.6810575530081,,
30,-232.19892867859062,30,-268.40718854904185,374.0,-379.84512323019544,,
31,-233.75555933469948,31,-270.29582579930417,375.0,-380.0745254966317,,
32,-235.51429479409393,32,-272.2826808860782,376.0,-380.26261213059695,,
33,-237.44122179894563,33,-274.1706352494667,377.0,-380.40741885932516,,
34,-238.29230730232854,34,-275.93177517096103,378.0,-380.61381959808057,,
35,-236.78805960719822,35,-277.6223080463522,379.0,-380.81631118241984,,
