Time_p1,Reconfigurable Path,Time_p2,Generic Path,Meaningful_Time,Meaningful,Generic_Sensitivity_Time,Generic_Sensitivity
1,-99.29846243280727,1,-99.29846243280727,3.0,-128.71790947817087,853.0,-545.2684512544611
2,-110.01951438663805,2,-110.01951438663805,4.0,-136.19492881891756,854.0,-544.2779000531921
3,-120.02251228779437,3,-120.02251228779437,5.0,-141.10357510433548,855.0,-544.5064216597971
4,-128.71790947817087,4,-128.71790947817087,14.0,-174.557377487541,856.0,-547.6073896075728
5,-136.19492881891756,5,-140.86517906757533,15.0,-175.60633433705394,857.0,-549.8438011124283
6,-141.10357510433548,6,-147.71597196469426,16.0,-178.35828050036844,858.0,-553.8963158830802
7,-144.55086681507296,7,-153.79071873704908,17.0,-182.17704159568527,859.0,-555.868751309313
8,-148.67425984625015,8,-161.83543547739558,18.0,-183.1188487691752,860.0,-551.9898515840778
9,-152.56403630807958,9,-167.33876601729156,19.0,-186.2797169755803,861.0,-560.9096891159242
10,-154.76519762122047,10,-171.50447881636464,20.0,-187.4223169776987,862.0,-560.8748246441515
11,-158.4618492630772,11,-176.14749236761452,21.0,-190.17947771234816,863.0,-563.3422048558448
12,-163.8960944584964,12,-182.32121247489872,22.0,-191.39903715953764,864.0,-563.1611421249662
13,-167.04099446626398,13,-185.8158516736691,23.0,-192.97703644787998,865.0,-564.8705499506539
14,-170.43475377336122,14,-190.12925653799607,24.0,-195.61685565479056,866.0,-569.4391505860158
15,-174.557377487541,15,-194.4048181450583,25.0,-196.7031463964218,867.0,-570.8850921339415
16,-175.60633433705394,16,-196.77668354472345,26.0,-198.20501880106127,868.0,-572.0826848809305
17,-178.35828050036844,17,-199.9777311718679,27.0,-197.94097109273065,869.0,-572.0911811809342
18,-182.17704159568527,18,-203.98484087906206,28.0,-199.64726029948108,870.0,-574.1322212624959
19,-183.1188487691752,19,-205.47382910229382,63.0,-238.98664169061323,871.0,-578.4254124617297
20,-186.2797169755803,20,-207.5752304467203,65.0,-239.61610023145798,872.0,-579.7951973890086
21,-187.4223169776987,21,-209.86668474451895,67.0,-240.7414736224578,873.0,-578.0648656137266
22,-190.17947771234816,22,-212.6086496413307,69.0,-242.75189683220535,874.0,-579.3867726809513
23,-191.39903715953764,23,-215.8062885595906,70.0,-244.31097504176964,875.0,-581.0262001057154
24,-192.97703644787998,24,-217.0689668857287,71.0,-244.2340282658183,876.0,-577.4009274178019
25,-195.61685565479056,25,-220.17662879997607,72.0,-245.09830568740074,877.0,-578.5607137156537
26,-196.7031463964218,26,-220.50212824791686,73.0,-246.65875507975142,878.0,-580.1381541507617
27,-198.20501880106127,27,-222.23618719456599,74.0,-246.45022507089354,879.0,-578.7003902816514
28,-197.94097109273065,28,-225.7532086351515,75.0,-248.19626361929494,880.0,-577.2371011393328
29,-199.64726029948108,29,-226.78858424805455,76.0,-248.68232798793852,881.0,-580.062577077571
30,-201.61021578882455,30,-229.15245589266604,77.0,-250.81777330181455,882.0,-577.5369371359301
31,-203.5009971289363,31,-231.0568825426898,78.0,-251.59449225485383,883.0,-579.984436866681
32,-204.1694652383885,32,-232.2614363291479,79.0,-253.3653431086517,884.0,-577.9460432250694
33,-205.0488580676606,33,-234.86981259319924,80.0,-252.7725230432484,885.0,-579.3860006013069
34,-205.4052246306991,34,-235.60318716696696,81.0,-253.3569259419238,886.0,-577.6404113781658
35,-207.88804431063292,35,-239.20083211911066,82.0,-254.5715829360808,887.0,-582.1584081726655
36,-208.42976284704284,36,-238.7428699544164,83.0,-254.87323161729074,888.0,-583.1356440725638
37,-209.29449712603156,37,-242.2182393319556,84.0,-256.2265071548509,889.0,-585.0761185632738
38,-212.31965769822506,38,-241.70992751087027,85.0,-253.9039615931065,890.0,-581.0485064527198
39,-209.93896331934565,39,-243.12500231360139,86.0,-255.3964610566826,891.0,-580.5150794695237
40,-210.19551765465175,40,-244.23999541285548,152.0,-302.00879084984365,892.0,-582.386855909052
41,-211.3625631105834,41,-244.88209741018034,153.0,-303.4740760573383,893.0,-581.9300804410866
42,-212.74822424610792,42,-247.13251118477018,154.0,-305.0817772299796,894.0,-577.7334963855994
