Time_p1,Reconfigurable Path,Time_p2,Generic Path,Meaningful_Time,Meaningful,Generic_Sensitivity_Time,Generic_Sensitivity
1,-8.327738743059605,1,-8.327738743059605,3.0,-34.84931580597481,523.0,-594.9844296484256
2,-19.537255598139744,2,-19.537255598139744,5.0,-50.801483453346556,524.0,-589.9782306395583
3,-24.065225714102013,3,-29.50420275477397,6.0,-53.03754822102453,525.0,-592.9156880681727
4,-34.84931580597481,4,-43.118197832077996,7.0,-54.31306997849419,526.0,-594.3549782140979
5,-43.83854889255669,5,-53.67478426400655,9.0,-62.051448761244195,527.0,-597.3989949762954
6,-50.801483453346556,6,-62.86937010169719,10.0,-65.08007040807783,528.0,-598.4116779639726
7,-53.03754822102453,7,-67.71879737957424,11.0,-67.69683333932215,529.0,-606.019906130646
8,-54.31306997849419,8,-72.79407326755208,12.0,-71.01093077351192,530.0,-607.4668948375024
9,-60.106509175116884,9,-79.09445790232061,13.0,-73.33345993359134,531.0,-599.1045060654366
10,-62.051448761244195,10,-83.0774509523608,14.0,-74.11687802890575,535.0,-580.5420380322347
11,-65.08007040807783,11,-88.00612366478992,15.0,-78.85221088712547,536.0,-579.1218241472333
12,-67.69683333932215,12,-92.7917486511932,34.0,-111.69288527520379,537.0,-577.9317824637627
13,-71.01093077351192,13,-95.6142533509534,35.0,-112.47978503111992,538.0,-584.2650460549182
14,-73.33345993359134,14,-98.69011093608401,36.0,-113.18392406196587,539.0,-586.5573736818372
15,-74.11687802890575,15,-101.50760382885059,37.0,-114.68507204932064,540.0,-582.0006434280417
16,-78.85221088712547,16,-106.26130851588962,38.0,-116.76646450885369,541.0,-591.675702718052
17,-79.72737372267306,17,-108.5769263290597,39.0,-117.5668300178495,542.0,-587.5970549139095
18,-83.67585755413438,18,-112.84029897821517,40.0,-119.4124248812972,543.0,-579.1314135898115
19,-84.48996625771909,19,-115.17618374802885,41.0,-120.23612187691035,544.0,-579.6541929917222
20,-85.52777192091656,20,-117.36395829107978,42.0,-121.53924018996557,545.0,-580.354052231402
21,-88.58546826503502,21,-120.76400495597558,43.0,-123.57059559270118,546.0,-586.0328612060902
22,-90.18582826666693,22,-123.09389413123489,44.0,-125.03471659829864,547.0,-578.8692949023886
23,-92.34124471936725,23,-125.83128274803477,45.0,-123.00582451035032,548.0,-572.7777261939644
24,-93.47816594187853,24,-128.61397159156292,46.0,-125.44063517223901,549.0,-571.5278347890985
25,-96.95614374039278,25,-131.63156502648832,51.0,-131.46953080856122,550.0,-577.7884169984386
26,-96.02245990401903,26,-132.06377631776257,52.0,-133.138247449125,551.0,-584.2493987192328
27,-97.02377667100691,27,-134.6056548168687,53.0,-132.0352182881824,552.0,-581.8623730638112
28,-98.06776444435005,28,-136.32028270073056,54.0,-133.85979211926218,553.0,-583.4448247249995
29,-99.31029467502728,29,-137.8003308154676,55.0,-134.73214032080807,554.0,-584.379354292736
30,-101.00945685390965,30,-139.89822159813735,56.0,-137.24428943200382,555.0,-590.967171171894
31,-101.93365840086913,31,-141.4785760741845,57.0,-138.84763409058075,556.0,-593.9094059656858
32,-104.45720724747287,32,-144.42694441249913,58.0,-141.1505819682547,557.0,-594.1687314428596
33,-106.12944765461796,33,-145.20173932830681,59.0,-141.42175984095368,558.0,-590.6327427258154
34,-108.26799723963293,34,-147.1707738390914,60.0,-141.8769392119635,559.0,-588.3804617343592
35,-111.69288527520379,35,-149.12867849748346,61.0,-142.73220069121575,560.0,-583.9650327023278
36,-112.47978503111992,36,-151.29085425953957,62.0,-144.79904598802275,561.0,-575.1885680979883
37,-113.18392406196587,37,-153.38140033435448,63.0,-143.20827467148223,562.0,-575.6405225340885
38,-114.68507204932064,38,-155.86703464416374,64.0,-146.00203968534646,563.0,-573.9549482305838
39,-116.76646450885369,39,-157.99651473806645,68.0,-151.67888650712803,564.0,-572.6446550970485
40,-117.5668300178495,40,-158.5645026449025,69.0,-154.1269303584262,565.0,-574.7389361243341
41,-119.4124248812972,41,-160.65548113668942,70.0,-152.96779998344783,566.0,-572.2351266211828
42,-120.23612187691035,42,-161.50971592248953,71.0,-154.2171551186711,567.0,-571.6169465063646
