Time_p1,Reconfigurable Path,Time_p2,Generic Path,Meaningful_Time,Meaningful,Generic_Sensitivity_Time,Generic_Sensitivity
1,-12.677631377535775,1,-12.677631377535775,3.0,-50.39629115591942,917.0,-487.5840034994158
2,-32.30459124036073,2,-32.30459124036073,4.0,-43.75529995538255,918.0,-490.0441280522684
3,-42.234503496468925,3,-45.42731436431342,5.0,-46.18395944292034,919.0,-495.8507012659069
4,-50.39629115591942,4,-54.40149914235636,6.0,-51.567448899741734,920.0,-494.1230632382875
5,-43.75529995538255,5,-58.20100809384259,10.0,-56.58302528332212,921.0,-495.6169574090942
6,-46.18395944292034,6,-70.07253428193638,11.0,-63.10797308726889,922.0,-494.22299381305595
7,-51.567448899741734,7,-78.93687562351889,12.0,-63.847859828287376,923.0,-494.0739002830726
8,-51.546292972533564,8,-82.05499455489688,13.0,-66.5834345997308,924.0,-497.15808641772503
9,-54.43268326302932,9,-85.4058639872359,14.0,-69.63992983547442,925.0,-497.84432402935386
10,-55.64469747431127,10,-88.34785233636603,15.0,-64.83466594127877,926.0,-489.18299612991296
11,-56.58302528332212,11,-94.92152612542642,16.0,-68.53011702093988,927.0,-495.52175716166937
12,-63.10797308726889,12,-98.19714421465912,25.0,-83.88960374283263,928.0,-497.13650102095085
13,-63.847859828287376,13,-103.44881919259873,26.0,-87.28502717741087,929.0,-492.0336816242043
14,-66.5834345997308,14,-106.91603284381334,27.0,-87.5591938468367,1094.0,-474.9474971462439
15,-69.63992983547442,15,-110.48268254695836,28.0,-85.3538385315716,1095.0,-473.5759913746367
16,-64.83466594127877,16,-114.83222214528409,29.0,-89.19171095446944,1116.0,-475.20910980660506
17,-68.53011702093988,17,-117.07863078838221,30.0,-86.34167035751486,1170.0,-468.52962732929865
18,-70.73728555163646,18,-119.59643914013208,31.0,-93.90177163269271,1171.0,-474.65298982706366
19,-64.22826137948068,19,-122.37595875212565,32.0,-96.0126490167802,1172.0,-475.8198550510992
20,-71.66779590205263,20,-125.19400100141773,33.0,-95.12021220036758,1173.0,-484.1369476348689
21,-76.87443972440235,21,-127.90674685944037,34.0,-101.61839107171305,1174.0,-480.67416698487335
22,-78.72311653024539,22,-129.8063596264017,35.0,-104.27752780446019,1175.0,-479.5335072637368
23,-78.71602979014017,23,-133.0629209698062,36.0,-104.32367355735278,1176.0,-477.8120365765658
24,-80.9290541918526,24,-135.22811440689148,37.0,-105.35268370796285,1177.0,-475.1431832307851
25,-80.75274165716598,25,-136.86111659393,38.0,-105.73868569511832,1178.0,-476.54540932517693
