Time_p1,Reconfigurable Path,Time_p2,Generic Path,Meaningful_Time,Meaningful,Generic_Sensitivity_Time,Generic_Sensitivity
1,-51.45014175290173,1,-51.45014175290173,5.0,-85.30412566672057,,
2,-55.39974277534888,2,-55.39974277534888,6.0,-94.37637806367904,,
3,-68.10165681564119,3,-68.10165681564119,7.0,-97.14354776077374,,
4,-75.91263158995699,4,-75.91263158995699,8.0,-102.16263549508417,,
5,-84.63402997014444,5,-84.63402997014444,9.0,-103.85765285294649,,
6,-85.30412566672057,6,-88.93377661462384,10.0,-107.99251233543,,
7,-94.37637806367904,7,-99.24410695642032,18.0,-133.1368487889073,,
8,-97.14354776077374,8,-103.50590246897839,19.0,-135.55758676748988,,
9,-102.16263549508417,9,-108.7881949303039,20.0,-134.3343014087778,,
10,-103.85765285294649,10,-114.11548769092872,21.0,-136.08091567042578,,
11,-107.99251233543,11,-120.35721895611552,176.0,-225.95871660809044,,
12,-110.74518275541422,12,-123.64835772734494,177.0,-226.309384732767,,
13,-114.38433525244213,13,-128.05981323091507,178.0,-226.55390221539386,,
14,-118.1460772144516,14,-132.40381645979855,179.0,-226.8116672015374,,
15,-121.36443692357629,15,-136.46181729687518,180.0,-227.05904786186028,,
16,-124.7723229451602,16,-140.17178331689126,181.0,-227.33188335616558,,
17,-128.048509375504,17,-143.22902909574088,182.0,-227.80764287364713,,
18,-130.56453475041712,18,-146.71073942726883,183.0,-228.0521266983893,,
19,-133.1368487889073,19,-149.67919491545393,184.0,-228.4047227553622,,
20,-135.55758676748988,20,-152.76545538583477,185.0,-228.5888488028585,,
21,-134.3343014087778,21,-155.14766980078264,186.0,-228.9052596090945,,
22,-136.08091567042578,22,-157.66875055449796,187.0,-229.16370638755302,,
23,-136.7484687903449,23,-160.21194462210963,188.0,-229.54958236259077,,
24,-138.0527341279287,24,-162.51332000070877,189.0,-229.8052959763827,,
25,-138.97797927121053,25,-164.67289034657958,190.0,-230.17958938625023,,
26,-138.79726322850664,26,-166.7579740911519,191.0,-230.44973858805926,,
27,-140.381009443239,27,-169.03664168943357,192.0,-230.74579552516226,,
28,-142.23054509833472,28,-171.24413126064493,193.0,-231.09009526114926,,
29,-142.37503925198902,29,-172.65597128211562,194.0,-231.43620522036488,,
30,-143.50222037329388,30,-174.6256184911488,195.0,-231.8235658556924,,
31,-144.93352741409907,31,-176.2565785017501,196.0,-232.08389578201982,,
32,-146.44573443242922,32,-177.67632189863056,197.0,-232.42052265963855,,
33,-147.3883018591696,33,-179.08434636453075,198.0,-232.72047204489803,,
