Time_p1,Reconfigurable Path,Time_p2,Generic Path,Meaningful_Time,Meaningful,Generic_Sensitivity_Time,Generic_Sensitivity
1,-24.517092876222442,1,-24.517092876222442,3.0,-42.19677036063251,4384.0,-565.8808861919799
2,-29.6938037876358,2,-29.6938037876358,9.0,-67.56940921873175,4385.0,-569.2872292095577
3,-35.915699955485024,3,-42.297910443307224,10.0,-71.18561467692643,4386.0,-570.345033707987
4,-42.19677036063251,4,-52.63834091060233,11.0,-76.95353122516774,4387.0,-570.0219982696628
5,-51.3348723231286,5,-65.13861962945197,13.0,-76.9033237264828,4388.0,-568.7776733119975
6,-52.464718188112386,6,-70.16723866151474,17.0,-89.76213568287099,4389.0,-568.1793197810368
7,-49.2268367503157,7,-76.14707139994724,18.0,-89.78939677880919,4390.0,-564.3200013770454
8,-50.730911621921386,8,-82.11761192111172,19.0,-96.12587639670414,4391.0,-564.9188091448482
9,-64.74170665719839,9,-85.6276972139544,20.0,-90.2862640252482,4774.0,-581.7266514804634
10,-67.56940921873175,10,-88.09112534135883,21.0,-93.47407500097759,4775.0,-585.6367725952307
11,-71.18561467692643,11,-92.9136647822344,27.0,-110.33328341793703,4776.0,-582.4598308046819
12,-76.95353122516774,12,-95.56040317183614,28.0,-113.6514054671637,4777.0,-578.6984754385021
13,-78.88203052158995,13,-98.944886624383,29.0,-113.81139305750177,4778.0,-578.3702405425503
14,-76.9033237264828,14,-101.28106895483857,30.0,-116.97841287735224,4779.0,-580.5134725768039
15,-73.44777678365503,15,-103.81377889279248,31.0,-119.8675794499579,4780.0,-581.091365530444
16,-80.59897280788581,16,-105.77931668261049,32.0,-121.67721206400921,4781.0,-582.1241117823917
17,-82.22086831477476,17,-108.99822848705952,33.0,-122.89019786757818,4782.0,-580.9145514537629
18,-89.76213568287099,18,-111.10886698758381,34.0,-124.56074147128233,4783.0,-586.3650023025441
19,-89.78939677880919,19,-114.48277808919664,35.0,-124.93544006334665,4784.0,-586.8006737121224
20,-96.12587639670414,20,-116.64071270169273,36.0,-127.5034182295539,4785.0,-584.4158886439812
21,-90.2862640252482,21,-118.82917815063855,37.0,-128.39956534534684,4786.0,-581.7825161402119
22,-93.47407500097759,22,-123.10353915001149,38.0,-129.12140544356345,4787.0,-580.8592505657721
23,-96.3711202118281,23,-125.70555075118567,39.0,-130.39802155191478,7301.0,-621.2262538477772
24,-100.64201797956432,24,-129.881960062913,40.0,-134.55362737363538,7302.0,-619.4554036310981
25,-104.27709769385187,25,-132.4421227593946,41.0,-134.64038461942062,7303.0,-618.455534922764
26,-105.72855768600581,26,-135.04072733223154,42.0,-137.0369197847931,7304.0,-617.3193665841181
27,-108.86725864977994,27,-138.37331339003603,43.0,-136.95376352560186,7305.0,-615.4488209143852
28,-110.33328341793703,28,-140.05784544388834,44.0,-137.4526972558899,7306.0,-615.4636431441515
29,-113.6514054671637,29,-142.24811581094295,45.0,-139.82838246500245,7307.0,-613.0002427989068
30,-113.81139305750177,30,-143.77748176907775,46.0,-140.925927722053,7308.0,-615.462035141144
31,-116.97841287735224,31,-146.00372405265497,47.0,-142.20586371996285,7309.0,-614.6647008858915
32,-119.8675794499579,32,-148.12768955599515,48.0,-142.90062729235174,7310.0,-615.9498288125723
33,-121.67721206400921,33,-150.73655124383419,49.0,-145.26051295406214,7311.0,-614.3516401478231
34,-122.89019786757818,34,-152.3883631136847,50.0,-145.5956300079948,7312.0,-613.9956510008351
35,-124.56074147128233,35,-154.02950172949073,51.0,-147.02968849921416,7313.0,-609.2015060019162
36,-124.93544006334665,36,-154.9394435252309,52.0,-147.25613400963175,7314.0,-608.7325344577464
37,-127.5034182295539,37,-156.98526165116866,53.0,-147.9026246468358,7315.0,-608.4699329872508
38,-128.39956534534684,38,-157.83559416488205,54.0,-149.53644504708132,7316.0,-608.2429084764026
39,-129.12140544356345,39,-159.42368937504602,55.0,-150.14088930366293,7317.0,-605.3101687793821
40,-130.39802155191478,40,-160.67527562644608,56.0,-152.24930161887886,7318.0,-603.3661196928506
41,-134.55362737363538,41,-163.00778118009254,57.0,-152.08336817281034,7319.0,-604.1059309421792
42,-134.64038461942062,42,-164.0145787374941,58.0,-151.79198365030098,7322.0,-605.817952943624
43,-137.0369197847931,43,-165.45703412048834,59.0,-150.83664761996306,7324.0,-605.774263090956
44,-136.95376352560186,44,-166.9035331145069,60.0,-151.55220970186056,7325.0,-605.910682677528
45,-137.4526972558899,45,-167.4929459633396,62.0,-152.08656492830872,7326.0,-605.1776877298842
46,-139.82838246500245,46,-169.41914901923684,63.0,-152.67704332526077,7327.0,-607.0423358556202
47,-140.925927722053,47,-170.6644181432448,106.0,-178.96735698879286,7328.0,-607.7197174263073
48,-142.20586371996285,48,-171.7658664111726,107.0,-179.70043919751353,7329.0,-604.3170259789483
49,-142.90062729235174,49,-172.7714410311649,108.0,-180.362026641679,7330.0,-606.2697066282749
50,-145.26051295406214,50,-174.46174446354308,109.0,-180.95909285920686,7331.0,-607.8765288737056
51,-145.5956300079948,51,-175.53843218863602,110.0,-181.48752944370727,7332.0,-606.6239379417409
52,-147.02968849921416,52,-176.60435910966447,111.0,-182.4678933533759,7333.0,-608.7719259902999
53,-147.25613400963175,53,-177.3499597260761,112.0,-182.60886124995773,7334.0,-606.1610496838168
54,-147.9026246468358,54,-178.40550363765632,113.0,-183.24680231962168,7336.0,-606.7338850694919
55,-149.53644504708132,55,-179.75455770890042,114.0,-183.59211171306183,7337.0,-607.4753449680095
56,-150.14088930366293,56,-180.03917253002368,115.0,-183.7130985357763,7338.0,-609.2938277481917
57,-152.24930161887886,57,-181.12911415554473,116.0,-183.8586354447419,7339.0,-609.297202871143
58,-152.08336817281034,58,-181.99093562929747,117.0,-184.0856065126717,7340.0,-611.4327815792988
59,-151.79198365030098,59,-182.8186825984991,118.0,-184.71000380833416,7341.0,-610.496705690403
60,-150.83664761996306,60,-183.875366882156,119.0,-185.50380998319696,7342.0,-613.211928509371
61,-151.55220970186056,61,-184.98199645901954,120.0,-186.18887468062803,7343.0,-610.4542477556848
62,-150.75582123450994,62,-185.87101987097486,121.0,-187.10955960853244,7344.0,-608.6887051995144
63,-152.08656492830872,63,-187.16160797023625,122.0,-187.36381837232472,7345.0,-608.5644204373774
64,-152.67704332526077,64,-187.61278189991953,123.0,-187.54079542127892,7347.0,-608.9782825805539
65,-153.58606800088268,65,-188.46671023042023,124.0,-187.9713093811072,7578.0,-584.8523928673671
66,-153.896392031388,66,-189.12810247387196,125.0,-188.91294957227268,7579.0,-584.8264326258189
67,-155.28898227929665,67,-189.62497994577942,126.0,-188.76265620399855,7580.0,-586.1955546189427
68,-155.43727911769898,68,-190.63936906540482,127.0,-189.04292473257786,7581.0,-588.4300049269492
69,-155.5538942096372,69,-191.33471752094908,128.0,-189.43250931866717,7582.0,-591.8158162814002
70,-156.50376548683462,70,-192.31204892843448,129.0,-189.77112559280113,7583.0,-592.6394332269357
71,-156.86176735947015,71,-192.85251090063855,135.0,-192.35775512577078,7584.0,-591.9129429301357
72,-157.80092747087272,72,-193.59184053730525,136.0,-193.37173930464027,7585.0,-592.0721476435785
73,-158.22437384819668,73,-194.54023302349265,137.0,-193.75158389997887,7586.0,-593.7018368983422
74,-158.72135070050217,74,-195.75406209233864,138.0,-193.88704888394128,7587.0,-596.8658311765098
75,-159.88290238828964,75,-197.00202019395203,139.0,-195.16085177081453,7588.0,-599.2578801320958
76,-160.3027269072868,76,-197.87289668946758,140.0,-195.8117284938363,7589.0,-598.9708298954652
77,-161.4261862405806,77,-199.13822676402904,141.0,-196.4333941078423,7590.0,-599.1075187454161
78,-162.1202236147839,78,-200.0691762798985,142.0,-196.32852370940793,7591.0,-599.644718515397
79,-162.774088201853,79,-201.11044681972146,143.0,-197.10577803272054,7592.0,-603.1590749827848
80,-163.1376045461629,80,-201.66041666695065,144.0,-197.99880380368333,7593.0,-602.1798337248209
81,-163.7658429437003,81,-202.34373142970412,145.0,-198.0819188427643,7594.0,-602.6944431070734
82,-164.0028460000628,82,-203.13678998440628,146.0,-199.13216778181226,7595.0,-602.9496718768451
83,-165.39749513404348,83,-203.9157542169397,147.0,-199.1391804433098,7596.0,-602.6496016788284
84,-165.77479697750886,84,-205.08906721647156,148.0,-199.09719840492397,7597.0,-606.3116602883764
85,-166.28281555149405,85,-205.9554253907785,149.0,-198.71217375218,7598.0,-608.3673381030437
86,-167.41148044238662,86,-207.76041384500914,150.0,-198.78934948218688,7599.0,-609.2663849816839
87,-168.174173671525,87,-207.8851964092063,151.0,-199.5967562101003,7600.0,-609.6994961055201
88,-168.87434354217777,88,-208.893462662551,152.0,-200.35016367812253,7601.0,-610.3442510300715
89,-169.07785151562248,89,-209.5800059595965,153.0,-201.33844438132485,7602.0,-610.8807918167638
90,-169.3669843179174,90,-210.31923244396523,154.0,-200.77708408127378,7603.0,-613.979425827771
91,-169.85348326597364,91,-210.9050046485209,155.0,-201.9865967272819,7604.0,-615.9976396042539
92,-170.12009913811383,92,-211.1990364727713,156.0,-202.8015705893269,7605.0,-617.79946435858
93,-171.01129153556298,93,-212.0566661784257,157.0,-203.18116384259702,7606.0,-618.5105525675958
94,-171.74976942736407,94,-212.4093534337435,158.0,-204.02343546284604,7607.0,-617.1404188810425
95,-171.99417994132037,95,-212.7805915664271,159.0,-203.92286429736657,7608.0,-617.8869301595594
96,-171.6281743900275,96,-212.88496296396139,160.0,-204.28582372298519,7609.0,-619.2293830107769
97,-172.7353023831372,97,-213.25506744334794,161.0,-204.38306553108328,7610.0,-622.1003884221084
98,-172.9538965197736,98,-213.14585254874655,162.0,-205.54821875215012,7611.0,-623.779523430881
99,-173.45743857742366,99,-213.61333066222,163.0,-205.6275836880282,7612.0,-621.0268403920489
100,-174.2261767442158,100,-214.20128049559005,164.0,-206.69808515486366,7613.0,-624.1173412749902
101,-174.86502271595378,101,-214.78240774321134,165.0,-207.525352774999,7614.0,-622.9142058190002
102,-175.61222757362663,102,-215.54818611616486,166.0,-206.99236125073278,7615.0,-622.1952155427045
103,-176.29080089800163,103,-216.42354865108427,167.0,-207.3232918572235,7616.0,-622.9219995089989
104,-177.62897388162602,104,-217.7792274442803,168.0,-207.972454570329,7617.0,-623.0556770768557
105,-177.79033526352592,105,-218.31044721532032,169.0,-207.89034533719203,7618.0,-624.5667389425159
106,-178.28592530173754,106,-218.68309697986206,170.0,-208.54863089145198,7619.0,-625.4435043391717
107,-178.96735698879286,107,-219.50685780284417,171.0,-208.07265795353103,7620.0,-623.3630850298534
108,-179.70043919751353,108,-220.23970913723895,172.0,-208.29662790889404,7621.0,-619.9353313055016
109,-180.362026641679,109,-221.16646713091893,173.0,-208.07786591677555,7622.0,-619.8972356801809
110,-180.95909285920686,110,-221.61364955947622,174.0,-207.87645415531262,7623.0,-618.2189375231801
111,-181.48752944370727,111,-222.22992084524714,175.0,-209.02314681193332,7624.0,-618.4145915039496
112,-182.4678933533759,112,-223.68717257116285,176.0,-209.789306803307,7625.0,-617.1434217422138
113,-182.60886124995773,113,-223.9276381598878,177.0,-210.29880120357046,7626.0,-616.5556578358564
114,-183.24680231962168,114,-224.28204618993016,178.0,-209.58437014600443,7627.0,-618.3038875424844
115,-183.59211171306183,115,-224.86164809051934,179.0,-210.23079773980695,7628.0,-618.55531535542
116,-183.7130985357763,116,-224.60758252248976,180.0,-210.95224400441072,7629.0,-616.1159451575693
117,-183.8586354447419,117,-224.96422931176676,181.0,-211.31641018906907,7630.0,-617.1248857691951
118,-184.0856065126717,118,-225.0907104307009,182.0,-211.10798308367114,7631.0,-614.5054177001044
119,-184.71000380833416,119,-226.08152964520593,183.0,-211.61455654205565,7632.0,-612.8723738992289
120,-185.50380998319696,120,-226.85382063757984,184.0,-211.9201210877527,7633.0,-613.6051043226397
121,-186.18887468062803,121,-227.42837349044902,185.0,-212.1385507312287,7634.0,-613.7093811548868
122,-187.10955960853244,122,-227.94458124228427,186.0,-212.31728595365706,7635.0,-612.270839790832
123,-187.36381837232472,123,-228.0151925622851,187.0,-210.85319045374817,7636.0,-609.2840953107096
124,-187.54079542127892,124,-227.8248704027631,188.0,-211.14686739869566,7637.0,-607.5657185966584
125,-187.9713093811072,125,-228.1373901516944,249.0,-223.6134536636505,7638.0,-605.8786202735494
126,-188.91294957227268,126,-229.11788112457276,250.0,-223.74079342851462,7639.0,-603.7765570172326
127,-188.76265620399855,127,-229.06340275486872,251.0,-223.6069878868899,7640.0,-604.3910827036078
128,-189.04292473257786,128,-229.19721155263005,252.0,-223.6691375138488,7641.0,-603.2383953807364
129,-189.43250931866717,129,-229.48019667899797,255.0,-224.8186845985988,7642.0,-604.6810451433677
130,-189.77112559280113,130,-229.5566066194083,272.0,-229.8665004459356,7643.0,-602.707310692452
131,-190.25890885238263,131,-229.91505645198015,273.0,-229.39161762175644,7644.0,-605.6732382558145
132,-190.4323820163976,132,-230.30308667705572,292.0,-233.39414132985792,7645.0,-604.4722650821743
