Time_p1,Reconfigurable Path,Time_p2,Generic Path,Meaningful_Time,Meaningful,Generic_Sensitivity_Time,Generic_Sensitivity
1,46.63986031231762,1,46.63986031231762,4.0,3.921197298942147,841.0,-356.0384806418877
2,34.2067885476326,2,34.2067885476326,5.0,-1.7474805069205672,842.0,-356.11563899924823
3,23.591146339312434,3,23.591146339312434,6.0,-5.093784464334551,854.0,-357.7254130009636
4,10.224606871301429,4,10.224606871301429,8.0,-8.93375976845402,855.0,-359.6271567376813
5,3.921197298942147,5,3.921197298942147,9.0,-11.504908597560053,975.0,-360.87746997722445
6,-1.7474805069205672,6,-5.716080214029606,95.0,-110.21753913600469,976.0,-361.1718330150011
7,-5.093784464334551,7,-10.289653667487155,103.0,-114.33563783635978,977.0,-360.3106862133661
8,-10.255310419193012,8,-16.41371639948058,104.0,-115.54305431548595,978.0,-359.15098552302095
9,-8.93375976845402,9,-20.44992214944172,105.0,-115.78304122052361,981.0,-357.2888157391006
10,-11.504908597560053,10,-25.593661204653554,113.0,-124.20318081344487,1007.0,-358.81395521933155
11,-11.073142913801242,11,-27.767326395148498,122.0,-127.30521445984635,1029.0,-364.01898978925647
12,-15.742450245190135,12,-33.66343605569426,130.0,-131.48481784225072,1030.0,-365.1690614495411
13,-14.534055868335958,13,-35.61432695452449,131.0,-133.384466677252,1031.0,-364.8582521844613
14,-16.203746012009912,14,-38.709317382831955,132.0,-134.01216636288066,1033.0,-362.25329272268425
15,-17.751365625715074,15,-42.61560034434632,133.0,-134.73913039467203,1042.0,-362.8553872290504
16,-21.513543319926676,16,-46.89113156696921,134.0,-135.26071363556002,1044.0,-362.9746110050643
17,-23.46936094668542,17,-49.47648809277439,135.0,-135.76106283825413,1045.0,-363.443961775724
18,-25.88137058300579,18,-51.36820209904323,136.0,-136.1771606890442,1046.0,-362.92844592900235
19,-28.33477511996413,19,-53.90893709910965,137.0,-136.2851897705496,1047.0,-362.4700243926304
20,-31.074009979109803,20,-56.94608577600704,138.0,-136.2553746690241,1048.0,-362.16996904432096
21,-32.84900887598257,21,-58.93210617387896,139.0,-136.2129429626585,1049.0,-362.16470590081315
22,-34.029456388564476,22,-61.681978910834204,140.0,-136.49895796942758,1057.0,-364.50734273763607
23,-34.57987170697837,23,-63.72652229610232,141.0,-136.62610890104344,3451.0,-553.9144392092597
24,-37.749234437386676,24,-66.57352603857052,143.0,-137.58563062145555,3452.0,-553.6192569000361
25,-38.003603231741046,25,-68.95665407653115,144.0,-139.90213294185452,3453.0,-554.9109682498536
26,-39.99461448766783,26,-70.87090104070332,145.0,-141.17723735484574,3454.0,-556.406942126134
27,-41.0993263578947,27,-73.1140173171371,146.0,-141.13570188068766,3455.0,-555.9021504137862
28,-43.66761807612778,28,-75.57465473120295,147.0,-140.62207027216556,3456.0,-557.5856915073085
29,-44.964422568494584,29,-76.68353063377654,148.0,-141.53880057770078,3457.0,-556.0137349667432
30,-44.707902681979675,30,-78.13764026064646,149.0,-142.77876979503145,3458.0,-552.5936378085734
31,-48.309932614535064,31,-80.25156484732376,150.0,-143.0926868089189,3459.0,-549.3211054104084
32,-49.60874206680381,32,-81.6884931791816,151.0,-144.8170518136542,3460.0,-553.2000155203762
33,-52.80390531812807,33,-83.72503385866801,152.0,-146.57486004194715,3461.0,-553.6943679775859
34,-54.54951238799703,34,-84.88960118855958,153.0,-146.47502389540497,3463.0,-552.740308438475
35,-54.79911372079946,35,-86.33187417002094,154.0,-147.56433401412792,3464.0,-551.9793306719127
36,-55.82401690536756,36,-88.15885120433336,155.0,-147.65065652678666,3465.0,-549.2993623166767
37,-56.49239858945952,37,-89.39472168715747,156.0,-147.73076827324567,3466.0,-547.0081820584567
38,-58.82187628317115,38,-90.98703200001742,157.0,-150.0839554647484,3773.0,-531.6282601448014
39,-59.65747131495704,39,-93.05513870017714,158.0,-150.90492767493114,3774.0,-531.3576233676525
40,-59.73459962192513,40,-94.06180605628862,159.0,-149.07467584477027,3775.0,-532.6972378208908
41,-60.472484370322974,41,-95.23988578071123,160.0,-149.7951143960694,3776.0,-536.9155714199559
42,-61.422233877536286,42,-96.5773341156766,165.0,-155.8186317147939,3777.0,-534.970012299554
43,-63.35408392534242,43,-97.95807781614187,166.0,-156.89266696362944,3779.0,-534.7585653625513
44,-64.77531918529478,44,-99.45612729526978,167.0,-157.45366980151883,3781.0,-534.3238286313205
45,-65.65661571728599,45,-101.00523440565352,168.0,-159.02239042047665,3782.0,-534.2513039011393
46,-67.82575045238053,46,-102.53209278555435,169.0,-160.55625385314406,3783.0,-536.1757626398662
47,-68.97062872228899,47,-103.88398128676862,170.0,-161.55062362825535,3784.0,-537.460304575114
48,-70.77578886118658,48,-105.29063849292982,171.0,-161.39738638452167,3785.0,-536.8874868080264
49,-71.5692490659185,49,-106.17645851692232,172.0,-161.77792987923877,3786.0,-536.1085618455875
50,-73.15290878327977,50,-106.88450722015698,173.0,-160.21076453898277,3787.0,-537.8913826671562
51,-74.09512233658288,51,-107.48229886444126,174.0,-160.3745301568852,3788.0,-537.9393400225379
52,-75.73494244931626,52,-108.58272907371767,175.0,-161.14162057040014,3797.0,-539.2052157599221
53,-76.94227638837125,53,-109.7458146996016,176.0,-159.95608618594747,3798.0,-540.8387492537554
54,-77.21750626610128,54,-111.41425633803077,177.0,-160.08529682264788,3799.0,-543.6681979100174
55,-78.37994576826529,55,-112.55121990369926,178.0,-160.85044155617254,3800.0,-543.7769323470256
56,-80.08943807760511,56,-113.25665795032538,179.0,-162.82086859942967,3801.0,-543.7403879153683
57,-80.20257050726504,57,-114.67334064348998,180.0,-162.92618773917854,3802.0,-543.6894390885235
58,-81.90127118228736,58,-116.13483789143766,181.0,-163.4572417011782,3803.0,-544.7291840682233
59,-82.6309956619643,59,-116.43845195271359,182.0,-163.48920483552683,3804.0,-546.5946738443387
60,-82.89795657932682,60,-116.99467866956017,183.0,-164.2701901966531,3805.0,-544.5542415073872
61,-84.04533074743478,61,-118.05678797679955,184.0,-165.751306008838,3806.0,-545.0154053827605
62,-84.88567554770887,62,-118.82459260736304,185.0,-167.32811908805928,3807.0,-544.3564002043853
63,-85.79694439666712,63,-119.94995534858054,186.0,-167.13827184610147,3808.0,-545.9174655263837
64,-86.9357086714753,64,-121.0590184249845,187.0,-166.76953654763398,3809.0,-549.1706916414263
65,-87.60003245457244,65,-122.27953816470067,188.0,-166.77057328328044,3810.0,-547.8732960867065
66,-88.93613879820754,66,-122.9424677921836,189.0,-167.12159407133947,3813.0,-548.1450587086046
67,-91.35236214140195,67,-123.99697072993472,190.0,-167.06191459311088,3814.0,-548.3976529536169
68,-90.62517134657192,68,-124.39718547311705,194.0,-166.74832572003064,3815.0,-548.2719138563431
69,-91.59333330570611,69,-125.38140634825703,195.0,-166.77451333426467,3816.0,-550.6402999326983
70,-92.12021064793356,70,-126.34023995811945,196.0,-166.7826484918008,3817.0,-551.7328839577269
71,-93.00460363839689,71,-127.60828700048549,197.0,-166.9023964157771,3818.0,-552.4167488740045
72,-93.19604627581796,72,-128.28256842784813,198.0,-167.3637476621664,3819.0,-551.6879442193685
73,-92.60652836936583,73,-128.68018230398107,199.0,-168.81216964120927,3820.0,-552.6279102009329
74,-94.14509689441167,74,-129.58609345605373,200.0,-168.54895818592115,3821.0,-553.4456642656802
75,-94.61522009107277,75,-130.52259643008912,201.0,-167.9579881266965,3822.0,-552.3111638686221
76,-95.44086482046937,76,-131.5689869469155,202.0,-169.66022221315194,3823.0,-551.0122055438629
77,-95.84897642115985,77,-132.3636264267494,203.0,-169.3155814259042,3824.0,-549.4005073835539
78,-97.25561761364546,78,-133.2956243539812,204.0,-167.01271148017983,3825.0,-547.8986288136289
79,-98.0254908367813,79,-133.82371544982902,205.0,-166.11999418349166,3826.0,-548.341912570689
