Time_p1,Reconfigurable Path,Time_p2,Generic Path,Meaningful_Time,Meaningful,Generic_Sensitivity_Time,Generic_Sensitivity
1,436.6973458976217,1,436.6973458976217,5.0,430.5464343113014,827.0,-226.82643964801065
2,439.0020901407126,2,439.0020901407126,7.0,421.43316290091025,830.0,-231.5652450892926
3,428.3389732856402,3,428.3389732856402,8.0,416.5390732178805,831.0,-228.90666878826653
4,425.85410905751064,4,425.85410905751064,9.0,414.6623871801343,832.0,-219.46912481549262
5,425.1181325990512,5,419.3091558819514,10.0,423.1677587637005,839.0,-220.26840378696986
6,430.5464343113014,6,413.09579888695237,11.0,414.2278256905692,840.0,-224.85879054623166
7,424.5344252017094,7,410.91612955667216,12.0,408.1721092723603,841.0,-226.62420314305066
8,421.43316290091025,8,405.2447157168297,13.0,403.4120979895429,842.0,-220.30505491752746
9,416.5390732178805,9,401.1635425040291,14.0,404.49770899356344,843.0,-225.5135730721803
10,414.6623871801343,10,396.3097019688728,15.0,402.0900172875232,857.0,-223.8620075765204
11,423.1677587637005,11,390.83254455464674,16.0,407.1023968563085,859.0,-230.77178653077857
12,414.2278256905692,12,387.7518360625976,17.0,404.09270372033103,861.0,-226.57998103798076
13,408.1721092723603,13,382.18873271539263,18.0,389.90608232768125,862.0,-237.50689694663123
14,403.4120979895429,14,377.8868450697882,19.0,388.4061083861663,863.0,-244.10338776111837
15,404.49770899356344,15,374.34692668299056,20.0,385.3279032261597,864.0,-242.8350770010584
16,402.0900172875232,16,371.61072988374826,21.0,379.0268078186251,865.0,-243.4149912940571
17,407.1023968563085,17,366.313518939606,22.0,381.0827567276706,866.0,-241.18772947774585
18,404.09270372033103,18,363.1760347468935,23.0,380.8046896956774,868.0,-257.46438815523413
19,389.90608232768125,19,358.92851201671124,56.0,351.2743840403939,869.0,-256.87378644369153
20,388.4061083861663,20,354.41378274624844,57.0,349.9609678886339,870.0,-259.76209691528356
21,385.3279032261597,21,352.1549468481773,58.0,344.2101512869441,871.0,-257.8199031608046
22,379.0268078186251,22,348.7595234477077,59.0,347.1875954915322,872.0,-254.9676881565995
23,381.0827567276706,23,347.7600289013476,60.0,346.0488302508446,873.0,-248.6384945467455
24,380.8046896956774,24,345.2656260701966,61.0,343.7436084472464,874.0,-248.51391062507255
25,382.4665745328318,25,341.4729103423027,70.0,343.58902877103793,875.0,-254.1302732256193
26,386.2232727850954,26,340.8132037622124,71.0,343.03461537512055,876.0,-245.7521934214835
27,382.7795044421681,27,338.72054145631773,72.0,341.48150717356003,877.0,-246.56278686780192
28,383.4195229406656,28,337.5502004668435,74.0,338.4904496252692,878.0,-257.2697730014303
29,384.56187858487743,29,336.1128827819332,75.0,336.1882825811057,879.0,-247.7184814130485
30,382.6049623106393,30,334.3640449648013,76.0,334.80530579162615,880.0,-244.663270970095
31,378.83918403152904,31,332.62451356316103,83.0,313.9283923865217,881.0,-248.93757328853832
32,380.2481530835735,32,331.9521804109644,84.0,318.53592596416973,882.0,-250.76677058525917
33,381.8435586468972,33,330.1052407929573,86.0,319.42641091775283,883.0,-252.94216278858963
34,378.6683719734637,34,328.2951637105156,87.0,319.1260190701985,884.0,-249.39790801545553
35,376.6860776009114,35,325.0529079378458,88.0,314.9229962311621,885.0,-244.22416999297448
36,379.60936803922516,36,322.6071149216798,89.0,316.1704378628984,886.0,-242.61687195227015
37,376.3766979354183,37,320.79505624619895,117.0,307.6194676047244,887.0,-240.12252060049047
38,377.89615468406964,38,318.38379189194677,121.0,305.9361744971988,888.0,-231.8376900432685
39,373.2365093024464,39,317.2204710290536,122.0,302.9275821908283,889.0,-234.5826208287404
40,373.9555357891089,40,316.20587055520116,123.0,303.5350156497665,890.0,-244.3848481621093
41,376.4886207976555,41,315.0494366440472,126.0,299.4582261049295,891.0,-233.4317231546836
42,369.9339543096154,42,311.77594144633804,127.0,298.2167249710194,892.0,-244.46771382700388
43,367.6518346884909,43,309.98847996817085,151.0,281.9937063122499,893.0,-242.0779729083643
44,371.3933701639361,44,309.79563827649565,155.0,272.3638513377907,894.0,-239.19193538487633
45,368.74094628778494,45,309.0798408533741,156.0,275.2328130346204,895.0,-222.30107596510686
46,366.8114853025661,46,305.9720586115177,157.0,278.9732509042348,896.0,-227.32601400903135
47,364.78156634240634,47,303.9221462428795,158.0,276.8965112317723,897.0,-228.84239873366272
48,367.4383864949408,48,303.509117722592,159.0,281.5255216511272,898.0,-222.22061488154898
49,368.3514004479237,49,302.94180769280536,163.0,278.5905250277834,899.0,-230.67778953633282
50,366.06282780199905,50,299.26883429095443,164.0,278.313657350996,900.0,-216.20635049177235
51,358.60404552373166,51,298.1782778044252,167.0,268.38519052543484,901.0,-213.65828061691576
52,365.15460983204997,52,299.49197405239215,168.0,265.753861345121,902.0,-215.00899816291928
53,363.1645381976958,53,297.5479963413194,169.0,269.90001765497425,903.0,-205.61786899841462
54,359.1461350420933,54,294.15656396661456,175.0,269.8851390073648,904.0,-207.92142691425266
55,357.8465552470975,55,290.63126173158946,176.0,274.06163989800086,905.0,-210.13630112888956
56,346.42313117770914,56,285.008193569222,196.0,231.00260748618817,906.0,-219.80436844671019
57,351.2743840403939,57,285.27935181552886,197.0,238.0482738833485,907.0,-213.75538741701067
58,349.9609678886339,58,286.8268453240729,203.0,230.24447217526784,908.0,-209.77671232180788
59,344.2101512869441,59,283.8559548279118,207.0,224.27996623477844,909.0,-208.12802253126108
60,347.1875954915322,60,282.8867978333805,209.0,226.71935601220986,919.0,-236.29392284594343
61,346.0488302508446,61,280.36980842514026,210.0,229.68094140852338,947.0,-261.73893445179397
62,343.7436084472464,62,276.4558016250445,217.0,241.09608233292676,948.0,-269.2526656536165
63,346.53325396016635,63,274.379683475845,218.0,239.7839783436484,949.0,-271.4842374043594
64,342.11313391563976,64,271.5430059480373,229.0,230.88131545042563,952.0,-269.2862620187669
65,337.26954264470135,65,274.41493572463355,230.0,232.02160910655414,953.0,-266.7721207514712
66,340.27117837707556,66,272.84067415130255,239.0,237.54248417678104,954.0,-266.03594765413715
67,336.40624353288723,67,272.08544477909226,240.0,236.7849108631046,957.0,-241.10843271722703
68,338.1111549729262,68,272.9485405334648,241.0,237.56574416046624,958.0,-232.67738900399786
69,341.8288119214166,69,273.71762647810607,246.0,234.16320446900625,959.0,-229.7898987534221
70,345.2539182189647,70,273.5086177033512,247.0,236.19926470251778,960.0,-236.96979692133178
71,343.58902877103793,71,270.6356814148316,248.0,236.11898282666425,961.0,-228.73822356686335
72,343.03461537512055,72,272.65951209255866,255.0,238.29832471346046,981.0,-195.43984128736668
73,341.48150717356003,73,270.3711908108761,256.0,237.1902588103652,982.0,-196.95656320199953
74,338.58008148075953,74,265.7548136269555,258.0,236.66102135462685,983.0,-203.69873326333442
