time,lasttime,lat,lng,speed,course,altitude,comment
2023-11-19 16:31:08,2023-11-19 16:31:08,42.50577,-84.63650,0,149,279.00,"Team_Mike_Primary_Tracker"
2023-11-19 16:32:09,2023-11-19 16:32:09,42.50522,-84.63645,20,141,428.00,"Team_Mike_Primary_Tracker"
2023-11-19 16:33:11,2023-11-19 16:33:11,42.50298,-84.63684,39,193,852.00,"Team_Mike_Primary_Tracker"
2023-11-19 16:34:12,2023-11-19 16:34:12,42.49857,-84.63469,9,202,1254.00,"Team_Mike_Primary_Tracker"
2023-11-19 16:35:13,2023-11-19 16:35:13,42.49374,-84.63290,46,146,1654.00,"Team_Mike_Primary_Tracker"
2023-11-19 16:36:14,2023-11-19 16:36:14,42.49018,-84.62877,46,149,2067.00,"Team_Mike_Primary_Tracker"
2023-11-19 16:37:15,2023-11-19 16:37:15,42.48652,-84.62337,26,170,2494.00,"Team_Mike_Primary_Tracker"
2023-11-19 16:38:17,2023-11-19 16:38:17,42.47935,-84.61775,48,162,2930.00,"Team_Mike_Primary_Tracker"
2023-11-19 16:39:18,2023-11-19 16:39:18,42.47101,-84.61136,70,142,3341.00,"Team_Mike_Primary_Tracker"
2023-11-19 16:40:19,2023-11-19 16:40:19,42.46327,-84.60232,74,147,3752.00,"Team_Mike_Primary_Tracker"
2023-11-19 16:41:21,2023-11-19 16:41:21,42.45579,-84.59011,63,138,4170.00,"Team_Mike_Primary_Tracker"
2023-11-19 16:42:22,2023-11-19 16:42:22,42.44788,-84.57713,81,140,4590.00,"Team_Mike_Primary_Tracker"
2023-11-19 16:43:23,2023-11-19 16:43:23,42.43936,-84.56403,63,123,5004.00,"Team_Mike_Primary_Tracker"
2023-11-19 16:44:24,2023-11-19 16:44:24,42.43136,-84.55134,78,120,5428.00,"Team_Mike_Primary_Tracker"
2023-11-19 16:45:26,2023-11-19 16:45:26,42.42355,-84.53771,80,114,5878.00,"Team_Mike_Primary_Tracker"
2023-11-19 16:46:27,2023-11-19 16:46:27,42.41534,-84.52414,87,127,6321.00,"Team_Mike_Primary_Tracker"
2023-11-19 16:47:28,2023-11-19 16:47:28,42.40584,-84.51191,102,154,6749.00,"Team_Mike_Primary_Tracker"
2023-11-19 16:48:29,2023-11-19 16:48:29,42.39554,-84.49835,111,127,7204.00,"Team_Mike_Primary_Tracker"
2023-11-19 16:49:31,2023-11-19 16:49:31,42.38627,-84.48393,85,145,7651.00,"Team_Mike_Primary_Tracker"
2023-11-19 16:50:32,2023-11-19 16:50:32,42.37816,-84.47016,94,123,8118.00,"Team_Mike_Primary_Tracker"
2023-11-19 16:51:33,2023-11-19 16:51:33,42.37209,-84.45382,74,108,8555.00,"Team_Mike_Primary_Tracker"
2023-11-19 16:52:35,2023-11-19 16:52:35,42.36569,-84.43610,106,124,9041.00,"Team_Mike_Primary_Tracker"
2023-11-19 16:53:36,2023-11-19 16:53:36,42.35773,-84.42042,107,124,9556.00,"Team_Mike_Primary_Tracker"
2023-11-19 16:54:37,2023-11-19 16:54:37,42.34907,-84.40464,104,122,10028.00,"Team_Mike_Primary_Tracker"
2023-11-19 16:55:38,2023-11-19 16:55:38,42.34034,-84.38921,106,139,10519.00,"Team_Mike_Primary_Tracker"
2023-11-19 16:56:39,2023-11-19 16:56:39,42.33088,-84.37284,76,117,11025.00,"Team_Mike_Primary_Tracker"
2023-11-19 16:57:41,2023-11-19 16:57:41,42.32321,-84.35785,80,100,11526.00,"Team_Mike_Primary_Tracker"
2023-11-19 16:58:42,2023-11-19 16:58:42,42.31661,-84.33826,124,118,12065.00,"Team_Mike_Primary_Tracker"
2023-11-19 16:59:43,2023-11-19 16:59:43,42.30820,-84.31933,94,111,12582.00,"Team_Mike_Primary_Tracker"
2023-11-19 17:00:44,2023-11-19 17:00:44,42.30105,-84.30384,83,114,13134.00,"Team_Mike_Primary_Tracker"
2023-11-19 17:01:46,2023-11-19 17:01:46,42.29574,-84.28607,122,103,13743.00,"Team_Mike_Primary_Tracker"
2023-11-19 17:02:47,2023-11-19 17:02:47,42.28968,-84.27111,83,116,14298.00,"Team_Mike_Primary_Tracker"
2023-11-19 17:03:48,2023-11-19 17:03:48,42.28543,-84.25800,59,95,14860.00,"Team_Mike_Primary_Tracker"
2023-11-19 17:04:49,2023-11-19 17:04:49,42.28506,-84.24548,80,114,15434.00,"Team_Mike_Primary_Tracker"
2023-11-19 17:05:51,2023-11-19 17:05:51,42.28149,-84.23121,87,129,16013.00,"Team_Mike_Primary_Tracker"
2023-11-19 17:06:52,2023-11-19 17:06:52,42.28005,-84.22057,65,88,16561.00,"Team_Mike_Primary_Tracker"
2023-11-19 17:07:53,2023-11-19 17:07:53,42.27517,-84.20905,85,99,17205.00,"Team_Mike_Primary_Tracker"
2023-11-19 17:08:55,2023-11-19 17:08:55,42.27219,-84.20174,76,81,17886.00,"Team_Mike_Primary_Tracker"
2023-11-19 17:09:56,2023-11-19 17:09:56,42.27121,-84.19260,43,113,18592.00,"Team_Mike_Primary_Tracker"
2023-11-19 17:10:57,2023-11-19 17:10:57,42.26868,-84.18525,76,131,19317.00,"Team_Mike_Primary_Tracker"
2023-11-19 17:11:59,2023-11-19 17:11:59,42.26360,-84.17973,52,118,20019.00,"Team_Mike_Primary_Tracker"
2023-11-19 17:13:00,2023-11-19 17:13:00,42.25940,-84.17203,57,105,20731.00,"Team_Mike_Primary_Tracker"
2023-11-19 17:14:01,2023-11-19 17:14:01,42.25662,-84.17074,2,215,21329.00,"Team_Mike_Primary_Tracker"
2023-11-19 17:15:03,2023-11-19 17:15:03,42.25646,-84.16862,28,95,21928.00,"Team_Mike_Primary_Tracker"
2023-11-19 17:16:04,2023-11-19 17:16:04,42.25410,-84.16672,52,211,22522.00,"Team_Mike_Primary_Tracker"
