time,lasttime,lat,lng,speed,course,altitude,comment
2023-11-19 16:32:04,2023-11-19 16:32:04,42.50575,-84.63671,0,5,280.00,"Team_November_Primary_Tracker"
2023-11-19 16:33:05,2023-11-19 16:33:05,42.50524,-84.63645,28,142,383.00,"Team_November_Primary_Tracker"
2023-11-19 16:34:06,2023-11-19 16:34:06,42.50350,-84.63705,13,139,793.00,"Team_November_Primary_Tracker"
2023-11-19 16:35:08,2023-11-19 16:35:08,42.49941,-84.63528,24,199,1208.00,"Team_November_Primary_Tracker"
2023-11-19 16:36:09,2023-11-19 16:36:09,42.49515,-84.63255,35,137,1634.00,"Team_November_Primary_Tracker"
2023-11-19 16:37:10,2023-11-19 16:37:10,42.49105,-84.62728,44,121,2054.00,"Team_November_Primary_Tracker"
2023-11-19 16:38:11,2023-11-19 16:38:11,42.48723,-84.62153,39,117,2492.00,"Team_November_Primary_Tracker"
2023-11-19 16:39:13,2023-11-19 16:39:13,42.48056,-84.61586,37,150,2953.00,"Team_November_Primary_Tracker"
2023-11-19 16:40:14,2023-11-19 16:40:14,42.47297,-84.60892,76,130,3385.00,"Team_November_Primary_Tracker"
2023-11-19 16:41:15,2023-11-19 16:41:15,42.46535,-84.59838,85,128,3835.00,"Team_November_Primary_Tracker"
2023-11-19 16:42:17,2023-11-19 16:42:17,42.45842,-84.58535,59,128,4273.00,"Team_November_Primary_Tracker"
2023-11-19 16:43:18,2023-11-19 16:43:18,42.45070,-84.57294,67,121,4704.00,"Team_November_Primary_Tracker"
2023-11-19 16:44:19,2023-11-19 16:44:19,42.44244,-84.56063,91,138,5149.00,"Team_November_Primary_Tracker"
2023-11-19 16:45:20,2023-11-19 16:45:20,42.43413,-84.54752,94,122,5621.00,"Team_November_Primary_Tracker"
2023-11-19 16:46:22,2023-11-19 16:46:22,42.42660,-84.53281,91,126,6074.00,"Team_November_Primary_Tracker"
2023-11-19 16:47:23,2023-11-19 16:47:23,42.41737,-84.51919,74,149,6509.00,"Team_November_Primary_Tracker"
2023-11-19 16:48:25,2023-11-19 16:48:25,42.40662,-84.50724,89,132,6966.00,"Team_November_Primary_Tracker"
2023-11-19 16:49:26,2023-11-19 16:49:26,42.39790,-84.49273,89,140,7428.00,"Team_November_Primary_Tracker"
2023-11-19 16:50:27,2023-11-19 16:50:27,42.38835,-84.47912,72,116,7897.00,"Team_November_Primary_Tracker"
2023-11-19 16:51:28,2023-11-19 16:51:28,42.38158,-84.46483,70,106,8359.00,"Team_November_Primary_Tracker"
2023-11-19 16:52:30,2023-11-19 16:52:30,42.37551,-84.44675,120,118,8841.00,"Team_November_Primary_Tracker"
2023-11-19 16:53:31,2023-11-19 16:53:31,42.36882,-84.42988,89,119,9350.00,"Team_November_Primary_Tracker"
2023-11-19 16:54:32,2023-11-19 16:54:32,42.36034,-84.41458,91,121,9850.00,"Team_November_Primary_Tracker"
2023-11-19 16:55:33,2023-11-19 16:55:33,42.35086,-84.39941,104,145,10359.00,"Team_November_Primary_Tracker"
2023-11-19 16:56:35,2023-11-19 16:56:35,42.34212,-84.38373,76,121,10906.00,"Team_November_Primary_Tracker"
2023-11-19 16:57:36,2023-11-19 16:57:36,42.33276,-84.36836,100,114,11399.00,"Team_November_Primary_Tracker"
2023-11-19 16:58:37,2023-11-19 16:58:37,42.32656,-84.35015,115,122,11932.00,"Team_November_Primary_Tracker"
2023-11-19 16:59:39,2023-11-19 16:59:39,42.31891,-84.33176,106,135,12439.00,"Team_November_Primary_Tracker"
2023-11-19 17:00:40,2023-11-19 17:00:40,42.31118,-84.31484,85,100,12990.00,"Team_November_Primary_Tracker"
2023-11-19 17:01:41,2023-11-19 17:01:41,42.30563,-84.29780,93,104,13466.00,"Team_November_Primary_Tracker"
2023-11-19 17:02:43,2023-11-19 17:02:43,42.30028,-84.28211,61,112,13971.00,"Team_November_Primary_Tracker"
2023-11-19 17:03:44,2023-11-19 17:03:44,42.29555,-84.26872,91,123,14472.00,"Team_November_Primary_Tracker"
2023-11-19 17:04:45,2023-11-19 17:04:45,42.29433,-84.25702,52,76,15033.00,"Team_November_Primary_Tracker"
2023-11-19 17:05:47,2023-11-19 17:05:47,42.29329,-84.24421,94,99,15604.00,"Team_November_Primary_Tracker"
2023-11-19 17:06:48,2023-11-19 17:06:48,42.29045,-84.23227,17,91,16205.00,"Team_November_Primary_Tracker"
2023-11-19 17:07:50,2023-11-19 17:07:50,42.28695,-84.22139,44,144,16851.00,"Team_November_Primary_Tracker"
2023-11-19 17:08:51,2023-11-19 17:08:51,42.28199,-84.21240,78,98,17470.00,"Team_November_Primary_Tracker"
2023-11-19 17:09:53,2023-11-19 17:09:53,42.28005,-84.20452,15,128,18014.00,"Team_November_Primary_Tracker"
2023-11-19 17:10:54,2023-11-19 17:10:54,42.27912,-84.19503,63,61,18650.00,"Team_November_Primary_Tracker"
2023-11-19 17:11:56,2023-11-19 17:11:56,42.27648,-84.18708,50,108,19196.00,"Team_November_Primary_Tracker"
2023-11-19 17:12:57,2023-11-19 17:12:57,42.27164,-84.18137,41,164,19709.00,"Team_November_Primary_Tracker"
2023-11-19 17:13:59,2023-11-19 17:13:59,42.26794,-84.17518,59,148,20311.00,"Team_November_Primary_Tracker"
2023-11-19 17:15:00,2023-11-19 17:15:00,42.26362,-84.16866,11,198,20862.00,"Team_November_Primary_Tracker"
2023-11-19 17:16:02,2023-11-19 17:16:02,42.26148,-84.16823,65,227,21411.00,"Team_November_Primary_Tracker"
2023-11-19 17:17:03,2023-11-19 17:17:03,42.26107,-84.16568,7,117,21932.00,"Team_November_Primary_Tracker"
2023-11-19 17:18:05,2023-11-19 17:18:05,42.25886,-84.16308,46,205,22460.00,"Team_November_Primary_Tracker"
2023-11-19 17:19:06,2023-11-19 17:19:06,42.25746,-84.16448,26,112,23008.00,"Team_November_Primary_Tracker"
2023-11-19 17:20:08,2023-11-19 17:20:08,42.25683,-84.16245,52,68,23562.00,"Team_November_Primary_Tracker"
2023-11-19 17:21:09,2023-11-19 17:21:09,42.25587,-84.15838,80,142,24049.00,"Team_November_Primary_Tracker"
2023-11-19 17:22:10,2023-11-19 17:22:10,42.25312,-84.15441,30,150,24568.00,"Team_November_Primary_Tracker"
2023-11-19 17:23:12,2023-11-19 17:23:12,42.25356,-84.15193,39,120,25108.00,"Team_November_Primary_Tracker"
2023-11-19 17:24:13,2023-11-19 17:24:13,42.25093,-84.15042,35,186,25563.00,"Team_November_Primary_Tracker"
2023-11-19 17:25:15,2023-11-19 17:25:15,42.24885,-84.15186,22,175,26011.00,"Team_November_Primary_Tracker"
2023-11-19 17:26:16,2023-11-19 17:26:16,42.24737,-84.15259,6,311,26456.00,"Team_November_Primary_Tracker"
2023-11-19 17:27:18,2023-11-19 17:27:18,42.24637,-84.15145,24,127,26926.00,"Team_November_Primary_Tracker"
2023-11-19 17:28:19,2023-11-19 17:28:19,42.24180,-84.14891,31,221,27388.00,"Team_November_Primary_Tracker"
2023-11-19 17:29:21,2023-11-19 17:29:21,42.23978,-84.14884,9,166,27428.00,"Team_November_Primary_Tracker"
2023-11-19 17:30:22,2023-11-19 17:30:22,42.23775,-84.14824,7,307,24579.00,"Team_November_Primary_Tracker"
2023-11-19 17:31:24,2023-11-19 17:31:24,42.23671,-84.14633,17,188,22338.00,"Team_November_Primary_Tracker"
2023-11-19 17:32:25,2023-11-19 17:32:25,42.23472,-84.14318,28,138,20365.00,"Team_November_Primary_Tracker"
2023-11-19 17:33:27,2023-11-19 17:33:27,42.23178,-84.13576,56,98,18651.00,"Team_November_Primary_Tracker"
2023-11-19 17:34:28,2023-11-19 17:34:28,42.22946,-84.12721,48,139,17164.00,"Team_November_Primary_Tracker"
2023-11-19 17:35:30,2023-11-19 17:35:30,42.22574,-84.11600,74,115,15821.00,"Team_November_Primary_Tracker"
2023-11-19 17:36:31,2023-11-19 17:36:31,42.22315,-84.10325,70,111,14575.00,"Team_November_Primary_Tracker"
2023-11-19 17:37:33,2023-11-19 17:37:33,42.21865,-84.08688,98,104,13408.00,"Team_November_Primary_Tracker"
2023-11-19 17:38:34,2023-11-19 17:38:34,42.21245,-84.07044,109,125,12366.00,"Team_November_Primary_Tracker"
2023-11-19 17:39:36,2023-11-19 17:39:36,42.20553,-84.05246,74,125,11388.00,"Team_November_Primary_Tracker"
2023-11-19 17:40:37,2023-11-19 17:40:37,42.19731,-84.03686,94,123,10490.00,"Team_November_Primary_Tracker"
2023-11-19 17:41:39,2023-11-19 17:41:39,42.18945,-84.02155,89,120,9637.00,"Team_November_Primary_Tracker"
2023-11-19 17:42:40,2023-11-19 17:42:40,42.18246,-84.00466,98,113,8821.00,"Team_November_Primary_Tracker"
2023-11-19 17:43:42,2023-11-19 17:43:42,42.17697,-83.98684,91,116,8050.00,"Team_November_Primary_Tracker"
2023-11-19 17:44:43,2023-11-19 17:44:43,42.16986,-83.97177,91,126,7319.00,"Team_November_Primary_Tracker"
2023-11-19 17:45:45,2023-11-19 17:45:45,42.16026,-83.95841,83,143,6607.00,"Team_November_Primary_Tracker"
2023-11-19 17:46:46,2023-11-19 17:46:46,42.15124,-83.94577,81,123,5923.00,"Team_November_Primary_Tracker"
2023-11-19 17:47:48,2023-11-19 17:47:48,42.14384,-83.93128,83,126,5247.00,"Team_November_Primary_Tracker"
2023-11-19 17:48:49,2023-11-19 17:48:49,42.13590,-83.91855,81,131,4600.00,"Team_November_Primary_Tracker"
2023-11-19 17:49:51,2023-11-19 17:49:51,42.12844,-83.90572,74,132,3979.00,"Team_November_Primary_Tracker"
2023-11-19 17:50:53,2023-11-19 17:50:53,42.12034,-83.89590,63,131,3376.00,"Team_November_Primary_Tracker"
2023-11-19 17:51:54,2023-11-19 17:51:54,42.11335,-83.88883,48,156,2818.00,"Team_November_Primary_Tracker"
2023-11-19 17:52:56,2023-11-19 17:52:56,42.10847,-83.88222,43,135,2273.00,"Team_November_Primary_Tracker"
2023-11-19 17:53:58,2023-11-19 17:53:58,42.10475,-83.87677,35,172,1743.00,"Team_November_Primary_Tracker"
2023-11-19 17:54:59,2023-11-19 17:54:59,42.09984,-83.87478,15,150,1257.00,"Team_November_Primary_Tracker"
2023-11-19 17:56:00,2023-11-19 17:56:00,42.09677,-83.87315,2,19,783.00,"Team_November_Primary_Tracker"
