time,lasttime,lat,lng,speed,course,altitude,comment
2023-11-19 16:33:45,2023-11-19 16:33:45,42.50566,-84.63636,31,180,317.00,"Team_Papa_Primary_Tracker"
2023-11-19 16:34:47,2023-11-19 16:34:47,42.50384,-84.63653,11,161,688.00,"Team_Papa_Primary_Tracker"
2023-11-19 16:35:48,2023-11-19 16:35:48,42.50032,-84.63504,31,131,1099.00,"Team_Papa_Primary_Tracker"
2023-11-19 16:36:49,2023-11-19 16:36:49,42.49589,-84.63351,33,139,1525.00,"Team_Papa_Primary_Tracker"
2023-11-19 16:37:51,2023-11-19 16:37:51,42.49182,-84.62928,37,153,1943.00,"Team_Papa_Primary_Tracker"
2023-11-19 16:38:52,2023-11-19 16:38:52,42.48834,-84.62382,52,144,2370.00,"Team_Papa_Primary_Tracker"
2023-11-19 16:39:53,2023-11-19 16:39:53,42.48261,-84.61795,69,142,2810.00,"Team_Papa_Primary_Tracker"
2023-11-19 16:40:54,2023-11-19 16:40:54,42.47510,-84.61189,61,163,3229.00,"Team_Papa_Primary_Tracker"
2023-11-19 16:41:56,2023-11-19 16:41:56,42.46755,-84.60256,69,123,3683.00,"Team_Papa_Primary_Tracker"
2023-11-19 16:42:57,2023-11-19 16:42:57,42.46012,-84.59103,65,114,4117.00,"Team_Papa_Primary_Tracker"
2023-11-19 16:43:58,2023-11-19 16:43:58,42.45354,-84.57861,85,126,4536.00,"Team_Papa_Primary_Tracker"
2023-11-19 16:45:00,2023-11-19 16:45:00,42.44479,-84.56617,74,120,4941.00,"Team_Papa_Primary_Tracker"
2023-11-19 16:46:01,2023-11-19 16:46:01,42.43649,-84.55325,65,124,5391.00,"Team_Papa_Primary_Tracker"
2023-11-19 16:47:02,2023-11-19 16:47:02,42.42838,-84.54070,102,128,5807.00,"Team_Papa_Primary_Tracker"
2023-11-19 16:48:03,2023-11-19 16:48:03,42.42092,-84.52776,100,126,6234.00,"Team_Papa_Primary_Tracker"
2023-11-19 16:49:05,2023-11-19 16:49:05,42.41091,-84.51552,106,136,6706.00,"Team_Papa_Primary_Tracker"
2023-11-19 16:50:06,2023-11-19 16:50:06,42.40173,-84.50253,78,117,7162.00,"Team_Papa_Primary_Tracker"
2023-11-19 16:51:08,2023-11-19 16:51:08,42.39316,-84.48884,74,143,7628.00,"Team_Papa_Primary_Tracker"
2023-11-19 16:52:09,2023-11-19 16:52:09,42.38511,-84.47408,61,120,8076.00,"Team_Papa_Primary_Tracker"
2023-11-19 16:53:10,2023-11-19 16:53:10,42.37872,-84.45789,76,129,8566.00,"Team_Papa_Primary_Tracker"
2023-11-19 16:54:11,2023-11-19 16:54:11,42.37354,-84.43972,117,113,9031.00,"Team_Papa_Primary_Tracker"
2023-11-19 16:55:13,2023-11-19 16:55:13,42.36590,-84.42519,94,126,9461.00,"Team_Papa_Primary_Tracker"
2023-11-19 16:56:14,2023-11-19 16:56:14,42.35706,-84.41030,109,130,9922.00,"Team_Papa_Primary_Tracker"
2023-11-19 16:57:16,2023-11-19 16:57:16,42.34682,-84.39544,91,116,10398.00,"Team_Papa_Primary_Tracker"
2023-11-19 16:58:17,2023-11-19 16:58:17,42.33695,-84.37946,89,138,10841.00,"Team_Papa_Primary_Tracker"
2023-11-19 16:59:19,2023-11-19 16:59:19,42.32762,-84.36494,102,127,11325.00,"Team_Papa_Primary_Tracker"
