time,lasttime,lat,lng,speed,course,altitude,comment
2023-11-19 16:33:22,2023-11-19 16:33:22,42.50578,-84.63661,0,267,278.00,"Team_Quebec_Primary_Tracker"
2023-11-19 16:34:23,2023-11-19 16:34:23,42.50530,-84.63616,11,120,383.00,"Team_Quebec_Primary_Tracker"
2023-11-19 16:35:24,2023-11-19 16:35:24,42.50329,-84.63686,30,179,775.00,"Team_Quebec_Primary_Tracker"
2023-11-19 16:36:25,2023-11-19 16:36:25,42.49936,-84.63531,41,175,1198.00,"Team_Quebec_Primary_Tracker"
2023-11-19 16:37:27,2023-11-19 16:37:27,42.49450,-84.63364,33,115,1620.00,"Team_Quebec_Primary_Tracker"
2023-11-19 16:38:28,2023-11-19 16:38:28,42.49044,-84.62887,48,116,2063.00,"Team_Quebec_Primary_Tracker"
2023-11-19 16:39:29,2023-11-19 16:39:29,42.48642,-84.62343,39,117,2498.00,"Team_Quebec_Primary_Tracker"
2023-11-19 16:40:30,2023-11-19 16:40:30,42.47911,-84.61822,72,156,2932.00,"Team_Quebec_Primary_Tracker"
2023-11-19 16:41:31,2023-11-19 16:41:31,42.47168,-84.61168,56,152,3381.00,"Team_Quebec_Primary_Tracker"
2023-11-19 16:42:33,2023-11-19 16:42:33,42.46423,-84.60193,70,148,3816.00,"Team_Quebec_Primary_Tracker"
2023-11-19 16:43:34,2023-11-19 16:43:34,42.45681,-84.58905,96,119,4265.00,"Team_Quebec_Primary_Tracker"
2023-11-19 16:44:35,2023-11-19 16:44:35,42.44903,-84.57710,87,123,4698.00,"Team_Quebec_Primary_Tracker"
2023-11-19 16:45:36,2023-11-19 16:45:36,42.44076,-84.56507,59,113,5144.00,"Team_Quebec_Primary_Tracker"
2023-11-19 16:46:37,2023-11-19 16:46:37,42.43221,-84.55314,81,129,5591.00,"Team_Quebec_Primary_Tracker"
2023-11-19 16:47:38,2023-11-19 16:47:38,42.42445,-84.53889,87,115,6024.00,"Team_Quebec_Primary_Tracker"
2023-11-19 16:48:40,2023-11-19 16:48:40,42.41612,-84.52556,102,144,6464.00,"Team_Quebec_Primary_Tracker"
2023-11-19 16:49:41,2023-11-19 16:49:41,42.40553,-84.51365,102,138,6926.00,"Team_Quebec_Primary_Tracker"
